,time,glacier_area,glacier_elev,smb_water_year,smb_scaled_cum
0,initial,343.95,4351,,
1,2016,280.761102125,4386,-8618.464347327104,-1962.4765390686248
2,2017,258.2067544375,4430,-8198.427725089301,-3486.3425462107816
3,2018,232.1000224375,4486,-8281.334929591638,-4901.964270527074
