,avg_temp_catchment,avg_temp_glaciers,evap_off_glaciers,prec_off_glaciers,prec_on_glaciers,rain_off_glaciers,snow_off_glaciers,rain_on_glaciers,snow_on_glaciers,snowpack_off_glaciers,soil_moisture,upper_groundwater,lower_groundwater,melt_off_glaciers,melt_on_glaciers,ice_melt_on_glaciers,snow_melt_on_glaciers,refreezing_ice,refreezing_snow,total_refreezing,SMB,actual_evaporation,total_precipitation,total_melt,runoff_without_glaciers,runoff_from_glaciers,total_runoff,observed_runoff
count,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0
mean,12.707,7.699,2.796,1.061,0.185,1.06,0.001,0.149,0.036,0.001,60.106,0.522,7.01,0.001,3.932,3.896,0.036,0.039,0.005,0.044,-23.055,0.745,1.246,3.933,0.322,4.036,4.359,0.321
std,6.018,6.003,1.604,3.273,0.573,3.273,0.019,0.511,0.198,0.013,40.822,2.058,6.589,0.018,2.919,2.963,0.128,0.03,0.019,0.029,17.369,0.484,3.842,2.918,0.336,2.89,2.707,0.162
min,-3.413,-8.533,0.406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-59.715,0.0,0.0,0.0,0.0,0.0,0.032,0.112
25%,7.301,2.362,1.269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.845,0.0,0.901,0.0,0.974,0.93,0.0,0.009,0.0,0.021,-38.302,0.347,0.0,0.974,0.037,1.19,1.828,0.182
50%,13.302,8.254,2.612,0.025,0.004,0.022,0.0,0.002,0.0,0.0,57.496,0.0,5.828,0.0,4.021,4.021,0.0,0.04,0.0,0.046,-24.516,0.658,0.029,4.021,0.245,4.273,4.544,0.286
75%,18.021,12.896,4.188,0.517,0.092,0.517,0.0,0.072,0.0,0.0,92.322,0.0,10.581,0.0,6.328,6.328,0.0,0.063,0.0,0.066,-5.389,1.067,0.598,6.328,0.468,6.306,6.448,0.446
max,24.996,20.106,6.704,43.454,8.077,43.454,0.519,8.077,2.621,0.271,150.416,18.017,27.595,0.519,10.446,10.446,0.983,0.104,0.147,0.147,13.227,2.319,51.531,10.446,1.866,12.079,12.274,0.859
sum,13927.372,8437.791,3064.378,1163.02,202.653,1161.835,1.184,163.263,39.39,0.859,65875.756,571.933,7683.346,1.199,4309.253,4269.864,39.39,42.699,5.908,48.607,-25268.281,816.41,1365.673,4310.453,353.258,4423.91,4777.168,352.181
