    nSoil_Types           4398
        ID     CLAY[%]     SAND[%]   Bd_mu[gcm-3]       nSamples
      1182          16          51          1.243       53517087
      1183          16          52          1.258       42491725
      1184          16          53          1.269       32660031
      1185          16          54          1.278       25122431
      1186          16          55          1.283       19676322
      1187          16          56          1.288       15481572
      1188          16          57          1.298       12063572
      1189          16          58          1.318        9429367
      1190          16          59          1.346        7608324
      1191          16          60          1.376        6383689
      1192          16          61          1.403        5542518
      1193          16          62          1.424        5075456
      1194          16          63          1.435        4836306
      1195          16          64          1.436        5031081
      1196          16          65          1.434        5555014
      1197          16          66          1.435        6049823
      1198          16          67          1.440        6246871
      1199          16          68          1.447        6219513
      1200          16          69          1.454        6196621
      1201          16          70          1.462        6232509
      1202          16          71          1.475        6063150
      1203          16          72          1.490        5942161
      1204          16          73          1.499        6261081
      1205          16          74          1.500        7356820
      1206          16          75          1.498        8969660
      1207          16          76          1.496        9266868
      1208          16          77          1.498        7946034
      1209          16          78          1.508        5817649
      1210          16          79          1.519        3746939
      1211          16          80          1.525        1714607
      1212          16          81          1.534         319886
      1213          16          82          1.542          22917
      1214          16          83          1.532           1289
      1215          16          84          1.539             52
      1216          16          85          1.588              2
      1217          17           2          1.635              1
      1218          17           3          1.467              3
      1219          17           4          1.492             13
      1220          17           5          1.491             37
      1221          17           6          1.500            311
      1222          17           7          1.495           1500
      1223          17           8          1.490           5555
      1224          17           9          1.487          14083
      1225          17          10          1.482          27838
      1226          17          11          1.473          49030
      1227          17          12          1.466          78348
      1228          17          13          1.467         107372
      1229          17          14          1.468         145143
      1230          17          15          1.466         180449
      1231          17          16          1.462         209980
      1232          17          17          1.457         224562
      1233          17          18          1.452         251073
      1234          17          19          1.446         277481
      1235          17          20          1.437         290307
      1236          17          21          1.423         300071
      1237          17          22          1.405         312223
      1238          17          23          1.387         323735
      1239          17          24          1.368         341139
      1240          17          25          1.339         383788
      1241          17          26          1.311         437540
      1242          17          27          1.277         559439
      1243          17          28          1.235         771209
      1244          17          29          1.198        1070044
      1245          17          30          1.168        1530891
      1246          17          31          1.152        2117801
      1247          17          32          1.140        2966661
      1248          17          33          1.132        4107251
      1249          17          34          1.128        5679212
      1250          17          35          1.125        7871541
      1251          17          36          1.122       10821558
      1252          17          37          1.121       14969058
      1253          17          38          1.124       21824107
      1254          17          39          1.136       29484227
      1255          17          40          1.149       37434331
      1256          17          41          1.161       45718257
      1257          17          42          1.171       55145162
      1258          17          43          1.179       64659696
      1259          17          44          1.186       75389636
      1260          17          45          1.193       84902370
      1261          17          46          1.201       90254324
      1262          17          47          1.212       88797664
      1263          17          48          1.226       80541818
      1264          17          49          1.241       68267913
      1265          17          50          1.253       61051136
      1266          17          51          1.259       41599043
      1267          17          52          1.266       31719432
      1268          17          53          1.270       24608146
      1269          17          54          1.273       19414289
      1270          17          55          1.277       15675884
      1271          17          56          1.287       12842944
      1272          17          57          1.309       10552842
      1273          17          58          1.340        8829877
      1274          17          59          1.370        7520692
      1275          17          60          1.397        6590961
      1276          17          61          1.416        6072392
      1277          17          62          1.424        6003251
      1278          17          63          1.422        6271528
      1279          17          64          1.416        6872912
      1280          17          65          1.417        7400281
      1281          17          66          1.422        7591461
      1282          17          67          1.427        7417919
      1283          17          68          1.434        7200674
      1284          17          69          1.444        6979626
      1285          17          70          1.460        6550109
      1286          17          71          1.478        6276267
      1287          17          72          1.489        6803672
      1288          17          73          1.490        8342597
      1289          17          74          1.489       10258676
      1290          17          75          1.486       10596925
      1291          17          76          1.483        8628756
      1292          17          77          1.486        5814931
      1293          17          78          1.495        3169778
      1294          17          79          1.505        1213355
      1295          17          80          1.517         195000
      1296          17          81          1.525          10884
      1297          17          82          1.530            381
      1298          17          83          1.534              5
      1299          18           2          1.512              2
      1300          18           3          1.503              3
      1301          18           4          1.496             38
      1302          18           5          1.501            244
      1303          18           6          1.500           1884
      1304          18           7          1.496           6977
      1305          18           8          1.492          17284
      1306          18           9          1.490          34013
      1307          18          10          1.485          54263
      1308          18          11          1.479          83353
      1309          18          12          1.474         116169
      1310          18          13          1.470         142785
      1311          18          14          1.465         174983
      1312          18          15          1.460         212197
      1313          18          16          1.454         249496
      1314          18          17          1.448         279468
      1315          18          18          1.444         309776
      1316          18          19          1.440         334120
      1317          18          20          1.433         344236
      1318          18          21          1.421         346645
      1319          18          22          1.407         354878
      1320          18          23          1.391         381902
      1321          18          24          1.374         424414
      1322          18          25          1.353         483921
      1323          18          26          1.335         554573
      1324          18          27          1.307         686181
      1325          18          28          1.267         903938
      1326          18          29          1.223        1259384
      1327          18          30          1.182        1881669
      1328          18          31          1.155        2827252
      1329          18          32          1.137        4180174
      1330          18          33          1.130        5977323
      1331          18          34          1.128        8458987
      1332          18          35          1.127       11908436
      1333          18          36          1.128       16544795
      1334          18          37          1.134       22581190
      1335          18          38          1.142       31579434
      1336          18          39          1.159       40046499
      1337          18          40          1.174       48125818
      1338          18          41          1.187       56446896
      1339          18          42          1.196       65547018
      1340          18          43          1.202       73458293
      1341          18          44          1.205       81154147
      1342          18          45          1.212       84451953
      1343          18          46          1.224       81549585
      1344          18          47          1.240       72342688
      1345          18          48          1.256       59752407
      1346          18          49          1.266       47369724
      1347          18          50          1.266       39722550
      1348          18          51          1.264       28295392
      1349          18          52          1.265       22928777
      1350          18          53          1.266       18847156
      1351          18          54          1.271       15774058
      1352          18          55          1.283       13524438
      1353          18          56          1.305       11707476
      1354          18          57          1.334        9973756
      1355          18          58          1.364        8533206
      1356          18          59          1.389        7406429
      1357          18          60          1.406        6790487
      1358          18          61          1.412        6725281
      1359          18          62          1.408        7217056
      1360          18          63          1.403        7863951
      1361          18          64          1.403        8485805
      1362          18          65          1.406        8855081
      1363          18          66          1.410        8717678
      1364          18          67          1.420        8298340
      1365          18          68          1.432        7756471
      1366          18          69          1.449        7047288
      1367          18          70          1.467        6824962
      1368          18          71          1.475        7778552
      1369          18          72          1.478        9997421
      1370          18          73          1.480       12332346
      1371          18          74          1.477       12456069
      1372          18          75          1.471        9794429
      1373          18          76          1.468        5919962
      1374          18          77          1.472        2696831
      1375          18          78          1.485         853252
      1376          18          79          1.495         121285
      1377          18          80          1.492           5593
      1378          18          81          1.513             88
      1379          19           1          1.531              3
      1380          19           2          1.488              5
      1381          19           3          1.488              6
      1382          19           4          1.488             71
      1383          19           5          1.496            959
      1384          19           6          1.495           6288
      1385          19           7          1.495          19543
      1386          19           8          1.493          37609
      1387          19           9          1.492          58633
      1388          19          10          1.488          77411
      1389          19          11          1.484         104057
      1390          19          12          1.480         132024
      1391          19          13          1.474         154684
      1392          19          14          1.468         196702
      1393          19          15          1.460         249686
      1394          19          16          1.452         301352
      1395          19          17          1.445         331189
      1396          19          18          1.440         359199
      1397          19          19          1.434         373100
      1398          19          20          1.427         383237
      1399          19          21          1.417         396325
      1400          19          22          1.407         441080
      1401          19          23          1.395         518854
      1402          19          24          1.383         616974
      1403          19          25          1.369         711449
      1404          19          26          1.352         835305
      1405          19          27          1.317        1038718
      1406          19          28          1.268        1356961
      1407          19          29          1.214        1920426
      1408          19          30          1.175        2848887
      1409          19          31          1.153        4223517
      1410          19          32          1.144        6071143
      1411          19          33          1.141        8467750
      1412          19          34          1.142       11599140
      1413          19          35          1.144       15579475
      1414          19          36          1.148       20711542
      1415          19          37          1.157       26893713
      1416          19          38          1.165       36051961
      1417          19          39          1.181       44968526
      1418          19          40          1.195       53319739
      1419          19          41          1.206       61475734
      1420          19          42          1.212       69367472
      1421          19          43          1.216       74113394
      1422          19          44          1.222       76244548
      1423          19          45          1.234       72201493
      1424          19          46          1.252       63409516
      1425          19          47          1.270       52332665
      1426          19          48          1.281       41810764
      1427          19          49          1.282       33040217
      1428          19          50          1.273       27983332
      1429          19          51          1.269       21003433
      1430          19          52          1.269       18076760
      1431          19          53          1.274       15943933
      1432          19          54          1.286       14178146
      1433          19          55          1.305       12583068
      1434          19          56          1.329       10942126
      1435          19          57          1.357        9240112
      1436          19          58          1.381        8050383
      1437          19          59          1.395        7503504
      1438          19          60          1.398        7521063
      1439          19          61          1.395        8060087
      1440          19          62          1.392        8916382
      1441          19          63          1.392        9615747
      1442          19          64          1.394       10084556
      1443          19          65          1.398        9986246
      1444          19          66          1.408        9440757
      1445          19          67          1.420        8730587
      1446          19          68          1.434        8037370
      1447          19          69          1.447        8005118
      1448          19          70          1.456        9428096
      1449          19          71          1.465       12378828
      1450          19          72          1.472       15265697
      1451          19          73          1.472       15092181
      1452          19          74          1.466       11362406
      1453          19          75          1.459        6294443
      1454          19          76          1.459        2450710
      1455          19          77          1.468         662433
      1456          19          78          1.479          89799
      1457          19          79          1.469           3939
      1458          19          80          1.472             34
      1459          20           1          1.514              1
      1460          20           2          1.528              4
      1461          20           3          1.508              9
      1462          20           4          1.482            226
      1463          20           5          1.485           1893
      1464          20           6          1.491          10353
      1465          20           7          1.495          28860
      1466          20           8          1.496          49286
      1467          20           9          1.496          66076
      1468          20          10          1.493          79385
      1469          20          11          1.489         102690
      1470          20          12          1.485         136644
      1471          20          13          1.476         179762
      1472          20          14          1.469         247506
      1473          20          15          1.460         318634
      1474          20          16          1.453         372575
      1475          20          17          1.446         396117
      1476          20          18          1.444         424702
      1477          20          19          1.439         445771
      1478          20          20          1.436         468497
      1479          20          21          1.430         516729
      1480          20          22          1.421         617965
      1481          20          23          1.409         780317
      1482          20          24          1.395         969826
      1483          20          25          1.373        1117898
      1484          20          26          1.336        1329750
      1485          20          27          1.281        1675000
      1486          20          28          1.227        2214133
      1487          20          29          1.191        3025403
      1488          20          30          1.177        4158785
      1489          20          31          1.172        5674743
      1490          20          32          1.170        7682637
      1491          20          33          1.167       10178882
      1492          20          34          1.167       13121637
      1493          20          35          1.168       16801679
      1494          20          36          1.172       21491564
      1495          20          37          1.181       27076172
      1496          20          38          1.187       35507445
      1497          20          39          1.199       43861190
      1498          20          40          1.209       51578969
      1499          20          41          1.217       58585001
      1500          20          42          1.226       63355820
      1501          20          43          1.238       63672952
      1502          20          44          1.253       61126956
      1503          20          45          1.271       54797761
      1504          20          46          1.289       46621235
      1505          20          47          1.302       38273899
      1506          20          48          1.306       30944336
      1507          20          49          1.302       24801166
      1508          20          50          1.291       21439555
      1509          20          51          1.288       16873980
      1510          20          52          1.291       15140409
      1511          20          53          1.300       13783699
      1512          20          54          1.314       12411044
      1513          20          55          1.331       10993613
      1514          20          56          1.353        9595272
      1515          20          57          1.372        8508731
      1516          20          58          1.383        8140162
      1517          20          59          1.385        8287770
      1518          20          60          1.385        8848333
      1519          20          61          1.383        9771754
      1520          20          62          1.386       10643570
      1521          20          63          1.390       10940803
      1522          20          64          1.395       10678384
      1523          20          65          1.400       10272686
      1524          20          66          1.408        9720458
      1525          20          67          1.418        9217386
      1526          20          68          1.428        9522968
      1527          20          69          1.441       11471186
      1528          20          70          1.456       15188113
      1529          20          71          1.470       18574986
      1530          20          72          1.475       18287706
      1531          20          73          1.471       13562399
      1532          20          74          1.465        7088770
      1533          20          75          1.461        2417850
      1534          20          76          1.465         554225
      1535          20          77          1.473          70165
      1536          20          78          1.466           3030
      1537          20          79          1.470             45
      1538          21           1          1.499              5
      1539          21           2          1.509             11
      1540          21           3          1.491             54
      1541          21           4          1.483            616
      1542          21           5          1.482           3614
      1543          21           6          1.490          11199
      1544          21           7          1.497          26341
      1545          21           8          1.502          43790
      1546          21           9          1.507          63401
      1547          21          10          1.505          82633
      1548          21          11          1.500         114398
      1549          21          12          1.489         166116
      1550          21          13          1.477         227169
      1551          21          14          1.468         303041
      1552          21          15          1.460         370899
      1553          21          16          1.454         418693
      1554          21          17          1.450         451655
      1555          21          18          1.452         498884
      1556          21          19          1.451         539064
      1557          21          20          1.448         595727
      1558          21          21          1.439         705610
      1559          21          22          1.428         896378
      1560          21          23          1.415        1148576
      1561          21          24          1.397        1378407
      1562          21          25          1.359        1570490
      1563          21          26          1.299        1898250
      1564          21          27          1.237        2431736
      1565          21          28          1.202        3136362
      1566          21          29          1.192        4037057
      1567          21          30          1.192        5256169
      1568          21          31          1.190        6884311
      1569          21          32          1.187        9024756
      1570          21          33          1.185       11531983
      1571          21          34          1.184       14330219
      1572          21          35          1.185       17821625
      1573          21          36          1.189       22462265
      1574          21          37          1.199       27453434
      1575          21          38          1.203       35008653
      1576          21          39          1.215       42228502
      1577          21          40          1.226       47851732
      1578          21          41          1.239       51844925
      1579          21          42          1.257       53775826
      1580          21          43          1.278       52281716
      1581          21          44          1.297       49660290
      1582          21          45          1.315       44525613
      1583          21          46          1.328       37952601
      1584          21          47          1.335       31152341
      1585          21          48          1.334       24958962
      1586          21          49          1.326       19830364
      1587          21          50          1.315       17189286
      1588          21          51          1.313       14060874
      1589          21          52          1.317       12885948
      1590          21          53          1.325       11888522
      1591          21          54          1.335       10854450
      1592          21          55          1.349        9814888
      1593          21          56          1.363        9058046
      1594          21          57          1.371        8798412
      1595          21          58          1.375        9058250
      1596          21          59          1.378        9500620
      1597          21          60          1.379       10337968
      1598          21          61          1.382       11193015
      1599          21          62          1.386       11803746
      1600          21          63          1.391       11476354
      1601          21          64          1.395       10943541
      1602          21          65          1.398       10632155
      1603          21          66          1.405       10414738
      1604          21          67          1.415       10994810
      1605          21          68          1.432       13497559
      1606          21          69          1.451       17676267
      1607          21          70          1.468       20944826
      1608          21          71          1.478       20399777
      1609          21          72          1.478       14929199
      1610          21          73          1.474        7618407
      1611          21          74          1.470        2407967
      1612          21          75          1.466         495250
      1613          21          76          1.468          56755
      1614          21          77          1.455           2433
      1615          21          78          1.420             45
      1616          22           1          1.513             10
      1617          22           2          1.513             43
      1618          22           3          1.487            274
      1619          22           4          1.485           1979
      1620          22           5          1.493           6312
      1621          22           6          1.505          16510
      1622          22           7          1.514          33899
      1623          22           8          1.520          53520
      1624          22           9          1.521          78082
      1625          22          10          1.517         103113
      1626          22          11          1.508         144457
      1627          22          12          1.494         201417
      1628          22          13          1.482         257269
      1629          22          14          1.475         327768
      1630          22          15          1.468         401701
      1631          22          16          1.466         461789
      1632          22          17          1.466         509138
      1633          22          18          1.469         574486
      1634          22          19          1.466         639509
      1635          22          20          1.458         730387
      1636          22          21          1.446         885575
      1637          22          22          1.433        1093483
      1638          22          23          1.422        1297541
      1639          22          24          1.402        1485474
      1640          22          25          1.353        1749718
      1641          22          26          1.296        2201910
      1642          22          27          1.249        2861428
      1643          22          28          1.224        3688597
      1644          22          29          1.212        4733983
      1645          22          30          1.202        6193460
      1646          22          31          1.197        8188482
      1647          22          32          1.197       10654367
      1648          22          33          1.197       13320949
      1649          22          34          1.199       16158481
      1650          22          35          1.201       19715580
      1651          22          36          1.208       24103976
      1652          22          37          1.221       28663684
      1653          22          38          1.230       35219582
      1654          22          39          1.248       40141386
      1655          22          40          1.265       42686152
      1656          22          41          1.284       44268138
      1657          22          42          1.304       45149546
      1658          22          43          1.325       43823471
      1659          22          44          1.341       41182835
      1660          22          45          1.351       36105589
      1661          22          46          1.357       29873133
      1662          22          47          1.355       24015284
      1663          22          48          1.349       19103950
      1664          22          49          1.340       15509463
      1665          22          50          1.332       13796473
      1666          22          51          1.332       11940079
      1667          22          52          1.336       11186872
      1668          22          53          1.341       10529562
      1669          22          54          1.348        9860489
      1670          22          55          1.356        9418688
      1671          22          56          1.362        9400975
      1672          22          57          1.366        9679272
      1673          22          58          1.371       10095596
      1674          22          59          1.376       10688859
      1675          22          60          1.381       11497462
      1676          22          61          1.384       12182195
      1677          22          62          1.388       12284793
      1678          22          63          1.391       11736457
      1679          22          64          1.394       11309413
      1680          22          65          1.399       11275720
      1681          22          66          1.411       12212085
      1682          22          67          1.428       15175796
      1683          22          68          1.448       19451617
      1684          22          69          1.466       21965924
      1685          22          70          1.477       20365817
      1686          22          71          1.480       14838751
      1687          22          72          1.479        7631721
      1688          22          73          1.475        2374151
      1689          22          74          1.461         459286
      1690          22          75          1.458          51375
      1691          22          76          1.445           1875
      1692          22          77          1.371             47
      1693          23           1          1.500             53
      1694          23           2          1.499            291
      1695          23           3          1.489           1546
      1696          23           4          1.489           4548
      1697          23           5          1.502          11210
      1698          23           6          1.516          27249
      1699          23           7          1.523          48962
      1700          23           8          1.525          71288
      1701          23           9          1.525          94563
      1702          23          10          1.521         114751
      1703          23          11          1.512         153616
      1704          23          12          1.503         203233
      1705          23          13          1.496         254140
      1706          23          14          1.489         328176
      1707          23          15          1.485         410806
      1708          23          16          1.484         485094
      1709          23          17          1.484         546047
      1710          23          18          1.484         623972
      1711          23          19          1.477         691972
      1712          23          20          1.467         787586
      1713          23          21          1.455         934447
      1714          23          22          1.444        1118299
      1715          23          23          1.431        1299281
      1716          23          24          1.403        1536448
      1717          23          25          1.357        1898262
      1718          23          26          1.315        2433443
      1719          23          27          1.279        3181439
      1720          23          28          1.252        4160499
      1721          23          29          1.229        5528777
      1722          23          30          1.215        7486760
      1723          23          31          1.211       10000975
      1724          23          32          1.212       12812999
      1725          23          33          1.214       15664408
      1726          23          34          1.217       18810072
      1727          23          35          1.224       22675757
      1728          23          36          1.236       27046862
      1729          23          37          1.254       31185458
      1730          23          38          1.270       36332711
      1731          23          39          1.293       38784295
      1732          23          40          1.311       39286381
      1733          23          41          1.326       39493479
      1734          23          42          1.339       39282191
      1735          23          43          1.353       36625169
      1736          23          44          1.361       32700466
      1737          23          45          1.362       27408590
      1738          23          46          1.357       22304713
      1739          23          47          1.350       18218937
      1740          23          48          1.344       15162990
      1741          23          49          1.339       12926340
      1742          23          50          1.337       11992156
      1743          23          51          1.340       10804105
      1744          23          52          1.343       10317604
      1745          23          53          1.347        9895551
      1746          23          54          1.351        9743877
      1747          23          55          1.355        9922287
      1748          23          56          1.359       10339255
      1749          23          57          1.366       10720901
      1750          23          58          1.373       11127086
      1751          23          59          1.379       11679528
      1752          23          60          1.385       12224438
      1753          23          61          1.388       12454776
      1754          23          62          1.391       12199365
      1755          23          63          1.394       11667457
      1756          23          64          1.400       11630096
      1757          23          65          1.411       12936584
      1758          23          66          1.430       16169287
      1759          23          67          1.448       20441853
      1760          23          68          1.464       22248264
      1761          23          69          1.475       19569595
      1762          23          70          1.478       13838003
      1763          23          71          1.479        7360852
      1764          23          72          1.475        2391037
      1765          23          73          1.453         447163
      1766          23          74          1.446          46115
      1767          23          75          1.438           1511
      1768          23          76          1.394             24
      1769          24           1          1.497            371
      1770          24           2          1.500           1335
      1771          24           3          1.497           3979
      1772          24           4          1.497           8717
      1773          24           5          1.505          16651
      1774          24           6          1.516          33706
      1775          24           7          1.520          56979
      1776          24           8          1.523          79323
      1777          24           9          1.525         103440
      1778          24          10          1.526         123642
      1779          24          11          1.524         161475
      1780          24          12          1.520         208544
      1781          24          13          1.516         257656
      1782          24          14          1.511         337406
      1783          24          15          1.507         429636
      1784          24          16          1.503         517208
      1785          24          17          1.500         590055
      1786          24          18          1.495         675942
      1787          24          19          1.486         771155
      1788          24          20          1.476         898071
      1789          24          21          1.464        1062237
      1790          24          22          1.450        1251286
      1791          24          23          1.427        1476623
      1792          24          24          1.394        1792087
      1793          24          25          1.359        2236293
      1794          24          26          1.327        2871652
      1795          24          27          1.296        3770596
      1796          24          28          1.266        5021919
      1797          24          29          1.245        6799148
      1798          24          30          1.237        9211275
      1799          24          31          1.237       12017215
      1800          24          32          1.240       15025821
      1801          24          33          1.244       18224007
      1802          24          34          1.250       21899822
      1803          24          35          1.262       26165070
      1804          24          36          1.279       30931454
      1805          24          37          1.298       34728858
      1806          24          38          1.316       38608470
      1807          24          39          1.335       38874875
      1808          24          40          1.346       37044547
      1809          24          41          1.351       34996072
      1810          24          42          1.354       32762058
      1811          24          43          1.355       28762581
      1812          24          44          1.351       24664415
      1813          24          45          1.345       20658568
      1814          24          46          1.339       17353185
      1815          24          47          1.336       14815846
      1816          24          48          1.336       12786678
      1817          24          49          1.336       11289451
      1818          24          50          1.338       10892412
      1819          24          51          1.341       10184379
      1820          24          52          1.343        9915032
      1821          24          53          1.345        9964597
      1822          24          54          1.350       10340991
      1823          24          55          1.356       10834058
      1824          24          56          1.363       11199544
      1825          24          57          1.372       11399178
      1826          24          58          1.380       11707503
      1827          24          59          1.388       11981678
      1828          24          60          1.392       12131684
      1829          24          61          1.394       11960773
      1830          24          62          1.396       11608096
      1831          24          63          1.401       11731899
      1832          24          64          1.413       13105946
      1833          24          65          1.432       16334973
      1834          24          66          1.450       20543206
      1835          24          67          1.463       21919178
      1836          24          68          1.474       18431330
      1837          24          69          1.478       12591807
      1838          24          70          1.476        6564165
      1839          24          71          1.467        2194110
      1840          24          72          1.446         424308
      1841          24          73          1.439          41242
      1842          24          74          1.445           1428
      1843          24          75          1.434             39
      1844          25           1          1.498           1315
      1845          25           2          1.508           4068
      1846          25           3          1.514           8731
      1847          25           4          1.518          15582
      1848          25           5          1.520          24759
      1849          25           6          1.520          41501
      1850          25           7          1.522          65719
      1851          25           8          1.527          91826
      1852          25           9          1.532         119922
      1853          25          10          1.537         146655
      1854          25          11          1.538         191941
      1855          25          12          1.538         241928
      1856          25          13          1.538         288207
      1857          25          14          1.532         364013
      1858          25          15          1.525         457064
      1859          25          16          1.517         552438
      1860          25          17          1.509         651072
      1861          25          18          1.499         787633
      1862          25          19          1.486         944257
      1863          25          20          1.475        1111651
      1864          25          21          1.461        1301664
      1865          25          22          1.438        1555972
      1866          25          23          1.409        1890609
      1867          25          24          1.381        2343114
      1868          25          25          1.352        3023887
      1869          25          26          1.327        3760407
      1870          25          27          1.297        4846138
      1871          25          28          1.272        6480811
      1872          25          29          1.263        8755861
      1873          25          30          1.262       11730903
      1874          25          31          1.268       15140155
