    nSoil_Types           4398
        ID     CLAY[%]     SAND[%]   Bd_mu[gcm-3]       nSamples
       230           4          75          1.384          86432
       231           4          76          1.387         104133
       232           4          77          1.389         131618
       233           4          78          1.396         159503
       234           4          79          1.402         180953
       235           4          80          1.399         221610
       236           4          81          1.396         343166
       237           4          82          1.406         561201
       238           4          83          1.422         797753
       239           4          84          1.437        1113821
       240           4          85          1.445        1361075
       241           4          86          1.458        1522778
       242           4          87          1.480        1866998
       243           4          88          1.496        2761020
       244           4          89          1.505        4233830
       245           4          90          1.506        7095638
       246           4          91          1.505       13038737
       247           4          92          1.514       23206870
       248           4          93          1.525       36578273
       249           4          94          1.533       38527003
       250           4          95          1.540       24797475
       251           4          96          1.545        9934249
       252           4          97          1.549        1111409
       253           5          25          1.235              1
       254           5          26          0.757              1
       255           5          27          1.089              5
       256           5          28          1.355              1
       257           5          29          1.244              5
       258           5          30          0.819              4
       259           5          31          0.912             11
       260           5          32          0.972             12
       261           5          33          0.871             25
       262           5          34          0.833             84
       263           5          35          0.824            381
       264           5          36          0.834           1054
       265           5          37          0.857           2212
       266           5          38          0.884           3663
       267           5          39          0.921           5403
       268           5          40          0.940           6976
       269           5          41          0.958           7708
       270           5          42          0.985           7313
       271           5          43          1.022           6623
       272           5          44          1.038           6525
       273           5          45          1.069           5688
       274           5          46          1.070           5402
       275           5          47          1.047           5094
       276           5          48          1.023           6614
       277           5          49          0.993           9292
       278           5          50          0.951          16424
       279           5          51          0.929          25698
       280           5          52          0.909          43112
       281           5          53          0.902          73275
       282           5          54          0.902         126403
       283           5          55          0.906         214180
       284           5          56          0.915         356466
       285           5          57          0.930         547256
       286           5          58          0.951         768852
       287           5          59          0.974         985764
       288           5          60          0.999        1164111
       289           5          61          1.030        1248112
       290           5          62          1.069        1223130
       291           5          63          1.109        1119440
       292           5          64          1.141         972216
       293           5          65          1.154         792005
       294           5          66          1.148         593235
       295           5          67          1.147         415678
       296           5          68          1.164         276212
       297           5          69          1.204         191903
       298           5          70          1.257         153123
       299           5          71          1.303         139843
       300           5          72          1.336         136016
       301           5          73          1.353         139249
       302           5          74          1.358         149660
       303           5          75          1.359         169944
       304           5          76          1.354         215692
       305           5          77          1.348         279308
       306           5          78          1.342         357301
       307           5          79          1.333         472348
       308           5          80          1.340         718765
       309           5          81          1.369        1115127
       310           5          82          1.399        1501335
       311           5          83          1.424        1886735
       312           5          84          1.439        2268009
       313           5          85          1.458        2543288
       314           5          86          1.480        3132245
       315           5          87          1.495        4167187
       316           5          88          1.502        6272873
       317           5          89          1.504        9668296
       318           5          90          1.502       15100790
       319           5          91          1.510       23055277
       320           5          92          1.523       29892633
       321           5          93          1.533       28953866
       322           5          94          1.542       18565262
       323           5          95          1.547        7915633
       324           5          96          1.551        1032824
       325           6          20          0.873              2
       326           6          21          0.944              4
       327           6          22          0.959              6
       328           6          23          1.050             11
       329           6          24          1.096              8
       330           6          25          1.010             14
       331           6          26          0.975             18
       332           6          27          1.071             23
       333           6          28          1.226             35
       334           6          29          1.213             38
       335           6          30          1.199             33
       336           6          31          0.987             36
       337           6          32          1.031             43
       338           6          33          0.964             96
       339           6          34          0.931            204
       340           6          35          0.879            738
       341           6          36          0.873           1978
       342           6          37          0.886           4315
       343           6          38          0.897           8542
       344           6          39          0.902          15056
       345           6          40          0.908          20975
       346           6          41          0.916          26975
       347           6          42          0.935          31890
       348           6          43          0.945          35159
       349           6          44          0.961          36110
       350           6          45          0.964          37947
       351           6          46          0.962          42175
       352           6          47          0.957          49416
       353           6          48          0.938          66444
       354           6          49          0.924          96194
       355           6          50          0.913         147131
       356           6          51          0.903         230747
       357           6          52          0.894         384717
       358           6          53          0.895         633836
       359           6          54          0.905         992293
       360           6          55          0.924        1489146
       361           6          56          0.951        2080537
       362           6          57          0.984        2673692
       363           6          58          1.018        3180040
       364           6          59          1.055        3522324
       365           6          60          1.094        3657647
       366           6          61          1.131        3541872
       367           6          62          1.162        3335648
       368           6          63          1.181        2989571
       369           6          64          1.191        2564628
       370           6          65          1.192        1996301
       371           6          66          1.189        1376081
       372           6          67          1.199         909689
       373           6          68          1.222         623664
       374           6          69          1.253         458266
       375           6          70          1.282         365483
       376           6          71          1.304         321338
       377           6          72          1.312         300447
       378           6          73          1.300         309752
       379           6          74          1.290         360704
       380           6          75          1.290         442931
       381           6          76          1.303         562468
       382           6          77          1.324         719554
       383           6          78          1.344         902395
       384           6          79          1.368        1187175
       385           6          80          1.397        1663694
       386           6          81          1.427        2182071
       387           6          82          1.452        2722315
       388           6          83          1.466        3215239
       389           6          84          1.479        3879698
       390           6          85          1.488        5081003
       391           6          86          1.494        6752843
       392           6          87          1.498        8893012
       393           6          88          1.501       12630938
       394           6          89          1.502       16646941
       395           6          90          1.509       20056047
       396           6          91          1.520       20912861
       397           6          92          1.531       17116781
       398           6          93          1.541       10141711
       399           6          94          1.550        4457789
       400           6          95          1.554         724430
       401           7          18          0.825              2
       402           7          19          0.856             10
       403           7          20          0.925             40
       404           7          21          0.918            112
       405           7          22          0.927            296
       406           7          23          0.978            428
       407           7          24          1.025            499
       408           7          25          1.096            638
       409           7          26          1.174            695
       410           7          27          1.214            817
       411           7          28          1.210            807
       412           7          29          1.212            796
       413           7          30          1.166            832
       414           7          31          1.063            915
       415           7          32          0.989           1349
       416           7          33          0.961           2099
       417           7          34          0.950           3594
       418           7          35          0.936           7202
       419           7          36          0.925          14120
       420           7          37          0.920          26227
       421           7          38          0.920          45815
       422           7          39          0.920          68891
       423           7          40          0.922          93059
       424           7          41          0.930         114540
       425           7          42          0.945         131373
       426           7          43          0.961         144855
       427           7          44          0.971         158945
       428           7          45          0.972         183331
       429           7          46          0.971         215512
       430           7          47          0.961         264476
       431           7          48          0.944         336440
       432           7          49          0.929         453176
       433           7          50          0.918         674686
       434           7          51          0.906        1038419
       435           7          52          0.904        1605954
       436           7          53          0.915        2341787
       437           7          54          0.938        3186966
       438           7          55          0.973        4088220
       439           7          56          1.016        4978499
       440           7          57          1.060        5628243
       441           7          58          1.099        5911411
       442           7          59          1.132        5849362
       443           7          60          1.159        5597249
       444           7          61          1.173        5161432
       445           7          62          1.180        4653655
       446           7          63          1.185        3945523
       447           7          64          1.197        3175755
       448           7          65          1.210        2426715
       449           7          66          1.228        1812274
       450           7          67          1.251        1382817
       451           7          68          1.269        1058445
       452           7          69          1.281         829260
       453           7          70          1.288         698364
       454           7          71          1.289         644539
       455           7          72          1.282         633892
       456           7          73          1.284         704611
       457           7          74          1.304         835546
       458           7          75          1.337         988735
       459           7          76          1.367        1203673
       460           7          77          1.391        1434317
       461           7          78          1.414        1724787
       462           7          79          1.439        2181480
       463           7          80          1.462        2775647
       464           7          81          1.480        3511241
       465           7          82          1.486        4354983
       466           7          83          1.488        5577614
       467           7          84          1.489        7498725
       468           7          85          1.493        9793501
       469           7          86          1.498       12017121
       470           7          87          1.502       14359480
       471           7          88          1.506       16814378
       472           7          89          1.511       16650694
       473           7          90          1.520       13696721
       474           7          91          1.530        9592823
       475           7          92          1.541        5319391
       476           7          93          1.551        2366423
       477           7          94          1.556         438676
       478           8          17          0.869             16
       479           8          18          0.886            153
       480           8          19          0.929            429
       481           8          20          0.942           1080
       482           8          21          0.957           2337
       483           8          22          0.976           3706
       484           8          23          1.006           5227
       485           8          24          1.028           5968
       486           8          25          1.072           6773
       487           8          26          1.078           7637
       488           8          27          1.071           9173
       489           8          28          1.059          10406
       490           8          29          1.029          12602
       491           8          30          1.003          15675
       492           8          31          0.990          21004
       493           8          32          0.977          28853
       494           8          33          0.970          40054
       495           8          34          0.963          55629
       496           8          35          0.957          74851
       497           8          36          0.957         100453
       498           8          37          0.958         133773
       499           8          38          0.957         181018
       500           8          39          0.962         232886
       501           8          40          0.968         285286
       502           8          41          0.976         330977
       503           8          42          0.989         359155
       504           8          43          1.000         388662
       505           8          44          1.003         435157
       506           8          45          1.000         501292
       507           8          46          0.992         591915
       508           8          47          0.976         724345
       509           8          48          0.957         956022
       510           8          49          0.940        1338999
       511           8          50          0.932        1930759
       512           8          51          0.927        2720752
       513           8          52          0.937        3782680
       514           8          53          0.961        4892298
       515           8          54          0.994        5893575
       516           8          55          1.035        6823778
       517           8          56          1.080        7617163
       518           8          57          1.119        7991596
       519           8          58          1.149        7815450
       520           8          59          1.167        7278215
       521           8          60          1.177        6677350
       522           8          61          1.181        5960265
       523           8          62          1.190        5158604
       524           8          63          1.204        4163777
       525           8          64          1.226        3373474
       526           8          65          1.247        2815659
       527           8          66          1.264        2374404
       528           8          67          1.275        1946254
       529           8          68          1.282        1564713
       530           8          69          1.288        1303004
       531           8          70          1.293        1167407
       532           8          71          1.300        1120173
       533           8          72          1.315        1163875
       534           8          73          1.344        1294243
       535           8          74          1.377        1482570
       536           8          75          1.407        1745774
       537           8          76          1.429        1982635
       538           8          77          1.449        2283906
       539           8          78          1.469        2762000
       540           8          79          1.484        3444579
       541           8          80          1.495        4271508
       542           8          81          1.498        5446217
       543           8          82          1.495        7113518
       544           8          83          1.493        9412885
       545           8          84          1.495       11897222
       546           8          85          1.501       13966232
       547           8          86          1.507       15106619
       548           8          87          1.512       14737467
       549           8          88          1.518       13196624
       550           8          89          1.523        9044558
       551           8          90          1.530        5196574
       552           8          91          1.542        2652537
       553           8          92          1.554        1162421
       554           8          93          1.562         252047
       555           9          11          1.052              1
       556           9          13          1.197              2
       557           9          14          0.928              2
       558           9          15          0.989             13
