,HBV_temp,HBV_prec,HBV_rain,HBV_snow,HBV_pe,HBV_snowpack,HBV_soil_moisture,HBV_AET,HBV_refreezing,HBV_upper_gw,HBV_lower_gw,HBV_melt_off_glacier,Q_HBV,DDM_smb,pdd,DDM_temp,DDM_prec,DDM_rain,DDM_snow,DDM_accumulation_rate,DDM_ice_melt,DDM_snow_melt,DDM_total_melt,DDM_refreezing_ice,DDM_refreezing_snow,DDM_glacier_reservoir,Q_DDM,water_year,DDM_prec_updated_scaled,DDM_rain_updated_scaled,DDM_snow_updated_scaled,DDM_accumulation_rate_updated_scaled,DDM_ice_melt_updated_scaled,DDM_snow_melt_updated_scaled,DDM_total_melt_updated_scaled,DDM_refreezing_ice_updated_scaled,DDM_refreezing_snow_updated_scaled,DDM_glacier_reservoir_updated_scaled,Q_DDM_updated_scaled,Qobs,Q_Total,Prec_total,Melt_total
2016-01-01,5.99,0.691,0.691,0.0,4.507,427.46,149.222,0.0,0,0.0,0.0,0.0,0.0,-3.799,1.809,1.809,0.671,0.625,0.046,0.046,0.0,4.524,4.524,0.0,0.679,4.665,4.186,2016,0.058,0.054,0.004,0.004,0.0,0.392,0.392,0.0,0.059,0.405,0.363,4.381,0.363,0.749,0.392
2016-01-02,5.616,0.16,0.16,0.0,4.179,413.419,145.722,3.565,0,0.0,0.092,14.041,0.0,-3.019,1.436,1.436,0.147,0.115,0.032,0.032,0.0,3.589,3.589,0.0,0.538,3.646,3.277,2016,0.013,0.01,0.003,0.003,0.0,0.311,0.311,0.0,0.047,0.316,0.284,4.12,0.284,0.173,14.352
2016-01-03,5.393,0.171,0.171,0.0,3.442,399.937,142.927,2.867,0,0.0,0.184,27.523,0.002,-2.529,1.212,1.212,0.151,0.104,0.047,0.047,0.0,3.031,3.031,0.0,0.455,3.048,2.745,2016,0.013,0.009,0.004,0.004,0.0,0.263,0.263,0.0,0.039,0.264,0.238,3.808,0.24,0.184,27.786
2016-01-04,4.524,1.786,1.786,0.0,2.579,388.627,141.574,2.118,0,0.0,1.157,38.833,0.007,0.306,0.343,0.343,1.342,0.307,1.036,1.036,0.0,0.858,0.858,0.0,0.129,1.34,1.206,2016,0.116,0.027,0.09,0.09,0.0,0.074,0.074,0.0,0.011,0.116,0.105,3.574,0.111,1.902,38.907
2016-01-05,4.04,2.625,2.625,0.0,2.457,378.526,145.447,2.071,0,5.917,2.551,48.934,0.045,1.837,0.0,-0.14,1.837,0.0,1.837,1.837,0.0,0.0,0.0,0.0,0.0,0.133,0.12,2016,0.159,0.0,0.159,0.159,0.0,0.0,0.0,0.0,0.0,0.012,0.01,3.431,0.056,2.784,48.934
2016-01-06,5.939,3.689,3.689,0.0,2.839,363.68,151.324,2.496,0,15.181,3.889,52.699,0.203,-3.423,1.758,1.758,3.555,3.243,0.312,0.312,0.0,4.395,4.395,0.0,0.659,6.992,6.304,2016,0.308,0.281,0.027,0.027,0.0,0.381,0.381,0.0,0.057,0.606,0.547,3.369,0.75,3.998,53.08
2016-01-07,4.317,3.832,3.832,0.0,1.802,352.886,155.9,1.622,0,21.912,5.173,47.161,0.555,2.208,0.137,0.137,2.761,0.262,2.499,2.499,0.0,0.342,0.342,0.0,0.051,1.241,1.117,2016,0.239,0.023,0.217,0.217,0.0,0.03,0.03,0.0,0.004,0.108,0.097,3.387,0.652,4.071,47.191
2016-01-08,3.715,1.417,1.417,0.0,1.541,343.599,158.868,1.411,0,26.144,6.406,44.576,1.052,0.992,0.0,-0.466,0.992,0.0,0.992,0.992,0.0,0.0,0.0,0.0,0.0,0.124,0.111,2016,0.086,0.0,0.086,0.086,0.0,0.0,0.0,0.0,0.0,0.011,0.01,3.356,1.061,1.503,44.576
2016-01-09,4.628,0.544,0.544,0.0,2.532,332.03,161.337,2.368,0,31.258,7.59,45.929,1.545,-0.654,0.447,0.447,0.417,0.122,0.296,0.296,0.0,1.117,1.117,0.0,0.168,1.084,0.976,2016,0.036,0.011,0.026,0.026,0.0,0.097,0.097,0.0,0.015,0.094,0.085,3.264,1.63,0.58,46.026
2016-01-10,5.034,0.111,0.111,0.0,2.844,319.445,163.584,2.702,0,36.631,8.727,45.788,1.945,-1.769,0.853,0.853,0.092,0.047,0.045,0.045,0.0,2.133,2.133,0.0,0.32,1.969,1.775,2016,0.008,0.004,0.004,0.004,0.0,0.185,0.185,0.0,0.028,0.171,0.154,3.197,2.099,0.119,45.973
