,time,glacier_area,glacier_elev,smb_water_year,smb_scaled_cum
0,initial,343.95,4351,,
1,2016,304.4448334375,4353,-427.36589576195615,-41.87224037810136
2,2017,302.95143687499996,4355,-675.2902962873065,-100.43616055333254
3,2018,299.92605318750003,4359,-1068.8836307851775,-192.6793828289447
