,avg_temp_catchment,avg_temp_glaciers,evap_off_glaciers,prec_off_glaciers,prec_on_glaciers,rain_off_glaciers,snow_off_glaciers,rain_on_glaciers,snow_on_glaciers,snowpack_off_glaciers,soil_moisture,upper_groundwater,lower_groundwater,melt_off_glaciers,melt_on_glaciers,ice_melt_on_glaciers,snow_melt_on_glaciers,refreezing_ice,refreezing_snow,total_refreezing,SMB,actual_evaporation,total_precipitation,total_melt,runoff_without_glaciers,runoff_from_glaciers,total_runoff,observed_runoff
count,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0
mean,0.153,-4.006,2.106,2.25,0.194,0.544,1.707,0.015,0.179,245.1,84.487,13.657,11.099,10.255,0.366,0.315,0.051,0.003,0.008,0.011,-2.048,1.17,2.444,10.621,1.29,0.37,1.66,2.417
std,6.046,6.045,1.545,5.533,0.471,2.283,4.836,0.064,0.472,217.213,41.949,31.993,12.186,19.161,0.777,0.774,0.183,0.008,0.027,0.028,11.228,1.332,6.001,19.057,2.372,0.787,2.799,1.221
min,-15.113,-19.267,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.493,0.0,0.0,0.0,0.0,0.0,0.0,0.84
25%,-4.84,-8.983,0.785,0.005,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.482,0.292,0.005,0.0,0.013,0.0,0.014,1.368
50%,0.086,-4.072,1.809,0.277,0.024,0.0,0.0,0.0,0.005,236.018,79.146,0.0,5.285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.609,0.299,0.457,0.227,0.0,0.24,2.15
75%,5.347,1.189,3.081,1.787,0.149,0.231,0.553,0.0,0.103,411.96,105.043,3.253,20.657,5.976,0.279,0.0,0.0,0.0,0.0,0.01,1.189,1.463,1.922,5.976,1.254,0.264,1.973,3.357
max,13.939,9.797,8.451,57.526,4.68,39.747,49.228,0.915,4.68,695.142,202.951,167.2,35.619,79.25,4.227,4.227,1.615,0.042,0.242,0.242,53.969,6.99,61.481,79.358,13.649,4.235,14.439,6.46
sum,167.424,-4390.15,2308.267,2466.273,212.896,595.939,1870.333,16.604,196.292,268629.226,92597.662,14967.597,12164.835,11239.249,401.29,345.449,55.841,3.454,8.376,11.831,-2244.647,1281.897,2679.168,11640.539,1413.823,406.038,1819.861,2649.258
