Time,Qobs,Qmhm,Qmhm_mat
5/27/1950 23:00,,7.92463261,
5/28/1950 23:00,,7.935911347,
5/29/1950 23:00,,7.821156126,
5/30/1950 23:00,,7.676028014,
5/31/1950 23:00,,7.54406504,
6/1/1950 23:00,,7.395908695,
6/2/1950 23:00,,7.260359179,
6/3/1950 23:00,,7.145925084,
6/4/1950 23:00,,7.036249395,
6/5/1950 23:00,,6.9252738,
6/6/1950 23:00,,6.822613002,
6/7/1950 23:00,,6.724341142,
6/8/1950 23:00,,6.646634244,
6/9/1950 23:00,,6.579065297,
6/10/1950 23:00,,6.498795447,
6/11/1950 23:00,,6.421927611,
6/12/1950 23:00,,6.342850921,
6/13/1950 23:00,,6.341835275,
6/14/1950 23:00,,6.369407466,
6/15/1950 23:00,,6.337024987,
6/16/1950 23:00,,6.335878795,
6/17/1950 23:00,,6.280030849,
6/18/1950 23:00,,6.294015296,
6/19/1950 23:00,,6.302156126,
6/20/1950 23:00,,6.226570084,
6/21/1950 23:00,,6.151018749,
6/22/1950 23:00,,6.065232965,
6/23/1950 23:00,,5.984703019,
6/24/1950 23:00,,5.908815353,
6/25/1950 23:00,,5.840835098,
6/26/1950 23:00,,5.788585339,
6/27/1950 23:00,,5.763887596,
6/28/1950 23:00,,6.105761085,
6/29/1950 23:00,,6.631268376,
6/30/1950 23:00,,6.646996654,
7/1/1950 23:00,,6.71066542,
7/2/1950 23:00,,6.683951977,
7/3/1950 23:00,,6.785120523,
7/4/1950 23:00,,7.220725787,
7/5/1950 23:00,,7.445221374,
7/6/1950 23:00,,7.343964895,
7/7/1950 23:00,,7.223924611,
7/8/1950 23:00,,7.06471567,
7/9/1950 23:00,,6.929091147,
7/10/1950 23:00,,6.756815676,
7/11/1950 23:00,,6.650831825,
7/12/1950 23:00,,6.676100389,
7/13/1950 23:00,,6.73597442,
7/14/1950 23:00,,6.6562551,
7/15/1950 23:00,,6.514422718,
7/16/1950 23:00,,6.399265385,
7/17/1950 23:00,,6.283115756,
7/18/1950 23:00,,6.164206848,
7/19/1950 23:00,,6.060276477,
7/20/1950 23:00,,6.033833414,
7/21/1950 23:00,,6.044048713,
7/22/1950 23:00,,6.04357408,
7/23/1950 23:00,,6.074841911,
7/24/1950 23:00,,6.156196306,
7/25/1950 23:00,,6.241305157,
7/26/1950 23:00,,6.149214652,
7/27/1950 23:00,,6.057559573,
7/28/1950 23:00,,6.002020445,
7/29/1950 23:00,,5.907482962,
7/30/1950 23:00,,5.802277637,
7/31/1950 23:00,,5.705485348,
8/1/1950 23:00,,5.613983918,
8/2/1950 23:00,,5.528407427,
8/3/1950 23:00,,5.448358186,
8/4/1950 23:00,,5.373186856,
8/5/1950 23:00,,5.302333315,
8/6/1950 23:00,,5.242168421,
8/7/1950 23:00,,5.202446395,
8/8/1950 23:00,,5.156490833,
8/9/1950 23:00,,5.107524611,
8/10/1950 23:00,,5.077719495,
8/11/1950 23:00,,5.043587907,
8/12/1950 23:00,,4.984708436,
8/13/1950 23:00,,5.150212029,
8/14/1950 23:00,,5.51389049,
8/15/1950 23:00,,5.561065635,
8/16/1950 23:00,,5.550810893,
8/17/1950 23:00,,5.751063611,
8/18/1950 23:00,,6.017343605,
8/19/1950 23:00,,5.956322216,
8/20/1950 23:00,,5.849620729,
8/21/1950 23:00,,5.747026451,
8/22/1950 23:00,,5.688741898,
8/23/1950 23:00,,5.616645421,
8/24/1950 23:00,,5.545362304,
8/25/1950 23:00,,5.497157517,
8/26/1950 23:00,,5.516071437,
8/27/1950 23:00,,5.557086476,
8/28/1950 23:00,,5.549946928,
8/29/1950 23:00,,5.743087883,
8/30/1950 23:00,,6.017504137,
8/31/1950 23:00,,6.053084969,
9/1/1950 23:00,,6.044288909,
9/2/1950 23:00,,5.900589399,
9/3/1950 23:00,,5.819742965,
9/4/1950 23:00,,5.88061391,
9/5/1950 23:00,,6.016081004,
9/6/1950 23:00,,6.140030634,
9/7/1950 23:00,,6.207601655,
9/8/1950 23:00,,6.581073287,
