Elevation,Area,WE,EleZone
4450,1918125,74.80612,4400
4460,1864375,78.699906,4400
4470,1975625,84.314092,4400
4480,2094375,87.885202,4400
4490,1950625,81.200922,4400
4500,1946250,76.827327,4500
4510,1883125,71.936002,4500
4520,2026250,67.333746,4500
4530,2029375,66.25636,4500
4540,2140000,68.604377,4500
4550,2072500,64.849393,4500
4560,2206250,63.030536,4500
4570,2059375,62.714747,4500
4580,2082500,63.484895,4500
4590,1995625,62.076524,4500
4600,1913750,60.623534,4600
4610,1934375,58.402972,4600
4620,1858125,58.32563,4600
4630,1818125,57.720597,4600
4640,1838125,59.698347,4600
4650,1791250,56.582189,4600
4660,1857500,55.850856,4600
4670,1840625,55.041751,4600
4680,1711875,52.649961,4600
4690,1689375,51.894285,4600
4700,1623750,48.87639,4700
4710,1514375,48.106976,4700
4720,1463750,48.025533,4700
4730,1429375,49.043926,4700
4740,1431875,47.300596,4700
4750,1465000,49.952042,4700
4760,1398750,48.45664,4700
4770,1430625,48.871693,4700
4780,1428125,49.043101,4700
4790,1435625,47.797542,4700
4800,1415625,47.466341,4800
4810,1401250,47.795917,4800
4820,1359375,46.203069,4800
4830,1349375,46.230393,4800
4840,1281875,44.86808,4800
4850,1244375,44.674235,4800
4860,1249375,44.467389,4800
4870,1195000,44.232048,4800
4880,1084375,45.118905,4800
4890,1133750,47.500837,4800
4900,1120625,50.414776,4900
4910,1096875,51.191973,4900
4920,1057500,51.293506,4900
4930,1098750,51.631118,4900
4940,1061875,54.253419,4900
4950,1066250,55.073621,4900
4960,986875,53.560635,4900
4970,1011875,56.958656,4900
4980,1031875,55.297717,4900
4990,977500,55.70675,4900
5000,1001250,52.789318,5000
5010,958125,50.487443,5000
5020,951250,51.241047,5000
5030,909375,49.921851,5000
5040,897500,51.871917,5000
5050,961250,58.641838,5000
5060,976250,62.793703,5000
5070,1097500,64.854792,5000
5080,997500,62.149729,5000
5090,994375,58.622231,5000
5100,970625,55.329729,5100
5110,951875,53.370116,5100
5120,956875,54.677652,5100
5130,882500,53.433768,5100
5140,868125,50.453771,5100
5150,861250,50.431936,5100
5160,816875,49.270565,5100
5170,815000,48.602556,5100
5180,755625,48.33154,5100
5190,790000,44.569624,5100
5200,766875,43.828088,5200
5210,789375,43.088923,5200
5220,783125,41.806101,5200
5230,877500,42.003016,5200
5240,974375,52.947515,5200
5250,1014375,64.482594,5200
5260,1030625,74.163779,5200
5270,976875,68.257788,5200
5280,882500,59.253766,5200
5290,853125,53.687496,5200
5300,780000,50.639994,5300
5310,780625,49.710491,5300
5320,801875,44.179193,5300
5330,823750,44.527936,5300
5340,798750,45.507241,5300
5350,696875,45.171537,5300
5360,653125,46.147514,5300
5370,641250,46.784601,5300
5380,640625,47.257643,5300
5390,598125,51.474497,5300
5400,596250,49.648001,5400
5410,579375,50.270771,5400
5420,633750,51.440348,5400
5430,696875,65.229414,5400
5440,730000,67.312489,5400
5450,659375,65.377294,5400
5460,688125,72.928797,5400
5470,811875,94.651282,5400
5480,721875,112.841285,5400
5490,649375,99.070251,5400
5500,635000,90.600381,5500
5510,611250,95.433947,5500
5520,685000,101.681665,5500
5530,821875,111.009347,5500
5540,726875,103.369675,5500
5550,623750,98.468977,5500
5560,532500,92.831484,5500
5570,504375,84.983247,5500
5580,537500,86.568178,5500
5590,831250,114.610719,5500
5600,777500,112.079646,5600
5610,713125,101.308913,5600
5620,663750,94.922154,5600
5630,509375,78.765383,5600
5640,417500,65.724635,5600
5650,388750,59.648775,5600
5660,321250,58.779056,5600
5670,328125,54.483047,5600
5680,341250,57.989484,5600
5690,333125,58.924154,5600
5700,271875,50.826612,5700
5710,241250,50.041328,5700
5720,219375,48.263414,5700
5730,183750,42.180934,5700
5740,170000,39.38355,5700
5750,176875,38.223186,5700
5760,179375,39.978137,5700
5770,211250,43.57807,5700
5780,177500,39.74712,5700
5790,116875,35.497373,5700
5800,101875,32.030409,5800
5810,106250,30.04218,5800
5820,88125,26.866231,5800
5830,93125,26.723695,5800
5840,95625,27.099093,5800
5850,88125,26.177837,5800
5860,72500,26.866721,5800
5870,62500,28.125455,5800
5880,65000,26.843322,5800
5890,48750,28.182274,5800
5900,57500,25.836085,5900
5910,47500,27.389752,5900
5920,44375,29.510911,5900
5930,41875,27.892117,5900
5940,37500,28.130317,5900
5950,33125,28.236586,5900
5960,36875,27.098936,5900
5970,37500,27.720736,5900
5980,41250,28.056927,5900
5990,36875,27.446299,5900
6000,30000,26.344643,6000
6010,31250,26.213561,6000
6020,30000,27.534052,6000
6030,27500,28.596436,6000
6040,28750,28.249742,6000
6050,19375,27.857385,6000
6060,19375,29.672501,6000
6070,18125,31.132409,6000
6080,21250,29.077184,6000
6090,19375,27.835543,6000
6100,14375,29.436802,6100
6110,14375,32.421879,6100
6120,15000,31.408446,6100
6130,15000,30.516738,6100
6140,13750,30.504633,6100
6150,13125,29.127891,6100
6160,7500,29.394564,6100
6170,10625,29.570149,6100
6180,10000,28.778,6100
6190,8750,29.490671,6100
6200,10625,30.673932,6200
6210,9375,27.371243,6200
6220,11875,28.947783,6200
6230,9375,27.240182,6200
6240,8750,24.949626,6200
6250,8125,23.442041,6200
6260,6875,24.518868,6200
6270,7500,22.316332,6200
6280,8750,18.417265,6200
6290,6875,20.802987,6200
6300,6875,18.105867,6300
6310,5625,16.901489,6300
6320,1875,15.64671,6300
