,avg_temp_catchment,avg_temp_glaciers,evap_off_glaciers,prec_off_glaciers,prec_on_glaciers,rain_off_glaciers,snow_off_glaciers,rain_on_glaciers,snow_on_glaciers,snowpack_off_glaciers,soil_moisture,upper_groundwater,lower_groundwater,melt_off_glaciers,melt_on_glaciers,ice_melt_on_glaciers,snow_melt_on_glaciers,refreezing_ice,refreezing_snow,total_refreezing,SMB,actual_evaporation,total_precipitation,total_melt,runoff_without_glaciers,runoff_from_glaciers,total_runoff,observed_runoff
count,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096
mean,5.064,0.852,2.052,1.226,0.077,0.388,0.838,0.01,0.067,15.06,74.682,1.049,8.991,1.501,0.898,0.875,0.023,0.009,0.003,0.012,-12.886,0.776,1.302,2.399,0.435,0.896,1.331,1.466
std,5.84,5.836,1.478,4.502,0.286,2.17,3.944,0.066,0.279,29.618,37.145,3.358,7.561,3.902,1.119,1.131,0.094,0.011,0.014,0.017,18.683,0.645,4.786,3.743,0.428,1.117,0.981,0.7
min,-11.634,-15.821,0,0,0,0,0,0,0,0,11.261,0,0,0,0,0,0,0,0,0,-75.749,0,0,0,0,0,0.023,0.644
25%,0.856,-3.385,0.913,0,0,0,0,0,0,0,39.135,0,1.881,0,0,0,0,0,0,0,-27.86,0.309,0,0.027,0.078,0,0.581,0.932
50%,5.205,0.922,1.705,0,0,0,0,0,0,0,75.496,0,7.087,0,0.207,0,0,0,0,0.007,-2.85,0.589,0,1.411,0.304,0.207,1.029,1.19
75%,9.831,5.655,2.959,0.022,0.001,0,0,0,0,17.001,107.705,0,14.833,0,1.774,1.774,0,0.018,0,0.02,0,1.047,0.023,2.656,0.684,1.762,2.031,1.814
max,19.398,15.303,8.954,54.898,3.642,42.865,54.604,1.403,3.642,144.367,151.245,35.695,28.6,25.67,5.084,5.084,0.948,0.051,0.142,0.142,54.81,3.833,58.54,25.871,2.857,5.033,5.047,6.059
sum,5550.218,934.162,2248.445,1343.56,83.969,424.985,918.575,10.748,73.221,16505.223,81851.427,1149.496,9854.356,1644.85,984.37,959.367,25.004,9.594,3.751,13.344,-14122.526,850.167,1427.529,2629.22,477.21,981.774,1458.984,1607.205
