,HBV_temp,HBV_prec,HBV_rain,HBV_snow,HBV_pe,HBV_snowpack,HBV_soil_moisture,HBV_AET,HBV_refreezing,HBV_upper_gw,HBV_lower_gw,HBV_melt_off_glacier,Q_HBV,DDM_smb,pdd,DDM_temp,DDM_prec,DDM_rain,DDM_snow,DDM_accumulation_rate,DDM_ice_melt,DDM_snow_melt,DDM_total_melt,DDM_refreezing_ice,DDM_refreezing_snow,DDM_glacier_reservoir,Q_DDM,water_year,DDM_prec_updated_scaled,DDM_rain_updated_scaled,DDM_snow_updated_scaled,DDM_accumulation_rate_updated_scaled,DDM_ice_melt_updated_scaled,DDM_snow_melt_updated_scaled,DDM_total_melt_updated_scaled,DDM_refreezing_ice_updated_scaled,DDM_refreezing_snow_updated_scaled,DDM_glacier_reservoir_updated_scaled,Q_DDM_updated_scaled,Qobs,Q_Total,Prec_total,Melt_total
2012-01-01,17.795,0.005,0.005,0.0,7.386,0.0,37.544,0.0,0,0.0,0.0,0.0,0.0,-67.814,13.7,13.7,0.005,0.005,0.0,0.0,68.499,0.0,68.499,0.685,0.0,67.819,67.819,2012,0.0,0.0,0.0,0.0,4.551,0.0,4.551,0.046,0.0,4.506,4.506,2.146,4.506,0.006,4.551
2012-01-02,16.953,0.0,0.0,0.0,7.159,0.0,36.008,1.536,0,0.0,0.0,0.0,0.0,-63.647,12.858,12.858,0.0,0.0,0.0,0.0,64.29,0.0,64.29,0.643,0.0,63.647,63.647,2012,0.0,0.0,0.0,0.0,4.272,0.0,4.272,0.043,0.0,4.229,4.229,2.046,4.229,0.0,4.272
2012-01-03,16.02,0.0,0.0,0.0,6.057,0.0,34.762,1.246,0,0.0,0.0,0.0,0.0,-59.032,11.926,11.926,0.0,0.0,0.0,0.0,59.628,0.0,59.628,0.596,0.0,59.032,59.032,2012,0.0,0.0,0.0,0.0,3.962,0.0,3.962,0.04,0.0,3.922,3.922,2.086,3.922,0.0,3.962
2012-01-04,13.131,1.535,1.535,0.0,2.991,0.0,35.466,0.617,0,0.0,0.205,0.0,0.001,-44.727,9.036,9.036,1.535,1.535,0.0,0.0,45.179,0.0,45.179,0.452,0.0,46.262,46.262,2012,0.102,0.102,0.0,0.0,3.002,0.0,3.002,0.03,0.0,3.074,3.074,2.146,3.074,1.637,3.002
2012-01-05,12.651,10.586,10.586,0.0,3.004,0.0,43.786,0.765,0,0.002,1.637,0.0,0.007,-42.353,8.556,8.556,10.586,10.586,0.0,0.0,42.781,0.0,42.781,0.428,0.0,52.94,52.94,2012,0.703,0.703,0.0,0.0,2.842,0.0,2.842,0.028,0.0,3.517,3.517,1.987,3.524,11.29,2.842
2012-01-06,12.31,3.098,3.098,0.0,2.603,0.0,45.652,0.689,0,0.0,2.094,0.0,0.026,-40.666,8.215,8.215,3.098,3.098,0.0,0.0,41.076,0.0,41.076,0.411,0.0,43.763,43.763,2012,0.206,0.206,0.0,0.0,2.729,0.0,2.729,0.027,0.0,2.908,2.908,1.734,2.934,3.304,2.729
2012-01-07,12.673,0.0,0.0,0.0,3.459,0.0,44.75,0.902,0,0.0,2.01,0.0,0.057,-42.461,8.578,8.578,0.0,0.0,0.0,0.0,42.89,0.0,42.89,0.429,0.0,42.461,42.461,2012,0.0,0.0,0.0,0.0,2.85,0.0,2.85,0.028,0.0,2.821,2.821,1.687,2.879,0.0,2.85
2012-01-08,12.263,0.0,0.0,0.0,2.83,0.0,44.026,0.724,0,0.0,1.93,0.0,0.083,-40.432,8.168,8.168,0.0,0.0,0.0,0.0,40.841,0.0,40.841,0.408,0.0,40.432,40.432,2012,0.0,0.0,0.0,0.0,2.714,0.0,2.714,0.027,0.0,2.686,2.686,1.659,2.769,0.0,2.714
2012-01-09,10.647,0.0,0.0,0.0,2.026,0.0,43.516,0.51,0,0.0,1.853,0.0,0.091,-32.431,6.552,6.552,0.0,0.0,0.0,0.0,32.758,0.0,32.758,0.328,0.0,32.431,32.431,2012,0.0,0.0,0.0,0.0,2.177,0.0,2.177,0.022,0.0,2.155,2.155,1.754,2.246,0.0,2.177
2012-01-10,10.535,0.0,0.0,0.0,1.997,0.0,43.02,0.497,0,0.0,1.779,0.0,0.086,-31.88,6.44,6.44,0.0,0.0,0.0,0.0,32.202,0.0,32.202,0.322,0.0,31.88,31.88,2012,0.0,0.0,0.0,0.0,2.14,0.0,2.14,0.021,0.0,2.118,2.118,1.677,2.205,0.0,2.14
2012-01-11,11.321,0.0,0.0,0.0,1.83,0.0,42.57,0.45,0,0.0,1.707,0.0,0.078,-35.767,7.226,7.226,0.0,0.0,0.0,0.0,36.129,0.0,36.129,0.361,0.0,35.767,35.767,2012,0.0,0.0,0.0,0.0,2.4,0.0,2.4,0.024,0.0,2.376,2.376,1.623,2.454,0.0,2.4
2012-01-12,14.362,0.0,0.0,0.0,3.206,0.0,41.79,0.78,0,0.0,1.639,0.0,0.071,-50.823,10.267,10.267,0.0,0.0,0.0,0.0,51.336,0.0,51.336,0.513,0.0,50.823,50.823,2012,0.0,0.0,0.0,0.0,3.411,0.0,3.411,0.034,0.0,3.377,3.377,1.661,3.448,0.0,3.411
2012-01-13,14.375,1.164,1.164,0.0,3.292,0.0,41.956,0.804,0,0.0,1.76,0.0,0.069,-50.888,10.28,10.28,1.164,1.164,0.0,0.0,51.402,0.0,51.402,0.514,0.0,52.052,52.052,2012,0.077,0.077,0.0,0.0,3.415,0.0,3.415,0.034,0.0,3.458,3.458,1.816,3.528,1.242,3.415
