,time,glacier_area,glacier_elev,smb_water_year,smb_scaled_cum
0,initial,343.95,4351,,
1,2012,288.96259574999993,4374,-5823.745540635909,-460.5784390699206
2,2013,279.06990487499996,4389,-4217.2019947064255,-740.7808915135126
3,2014,266.30692762499996,4413,-4604.0539647234355,-1036.2140983688848
