,time,glacier_area,glacier_elev,smb_water_year,smb_scaled_cum
0,initial,79.99,4529,,
1,2016,70.54531837500001,4530,-747.5951653196867,-110.4240370675316
2,2017,70.16445243749999,4531,-927.8461996712763,-231.2904493264994
3,2018,69.3897904375,4533,-1042.2765582729469,-366.3301760362462
