Elevation,Area,WE,EleZone
5420,68750,24.423085,5400
5430,80625,26.487139,5400
5440,86250,26.254486,5400
5450,83125,25.677084,5400
5460,69375,25.687534,5400
5470,60625,26.164465,5400
5480,52500,24.886521,5400
5490,58125,24.115707,5400
5500,48750,23.901374,5500
5510,35625,22.692654,5500
5520,38125,22.332109,5500
5530,31875,25.073946,5500
5540,34375,23.293949,5500
5550,34375,22.989395,5500
5560,33750,24.700467,5500
5570,26875,23.497003,5500
5580,31875,23.467532,5500
5590,26250,24.587915,5500
5600,37500,22.732884,5600
5610,25625,24.037358,5600
5620,45000,23.345322,5600
5630,33750,22.687987,5600
5640,20625,23.037157,5600
5650,42500,23.449674,5600
5660,28750,23.861591,5600
5670,31250,23.10328,5600
5680,28750,22.455191,5600
5690,30625,22.65526,5600
5700,20000,21.253769,5700
5710,28750,22.991711,5700
5720,27500,23.116031,5700
5730,21875,22.286194,5700
5740,25000,24.163308,5700
5750,25625,23.657384,5700
5760,25625,22.9981,5700
5770,26250,22.16176,5700
5780,26875,21.925745,5700
5790,25000,22.393638,5700
5800,19375,23.953392,5800
5810,25625,21.994688,5800
5820,25000,21.986611,5800
5830,30625,22.100455,5800
5840,33750,21.671199,5800
5850,21875,21.77019,5800
5860,15000,20.831414,5800
5870,13125,19.606734,5800
5880,11875,17.988784,5800
5890,6875,16.546181,5800
5900,3125,18.14941,5900
5910,1875,18.42249,5900
5920,625,15.272834,5900
5925,625,12.264485,5900
