,avg_temp_catchment,avg_temp_glaciers,evap_off_glaciers,prec_off_glaciers,prec_on_glaciers,rain_off_glaciers,snow_off_glaciers,rain_on_glaciers,snow_on_glaciers,snowpack_off_glaciers,soil_moisture,upper_groundwater,lower_groundwater,melt_off_glaciers,melt_on_glaciers,ice_melt_on_glaciers,snow_melt_on_glaciers,refreezing_ice,refreezing_snow,total_refreezing,SMB,actual_evaporation,total_precipitation,total_melt,runoff_without_glaciers,runoff_from_glaciers,total_runoff,observed_runoff
count,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0
mean,2.08,-2.107,2.106,2.381,0.193,0.97,1.411,0.023,0.17,152.838,98.267,12.724,12.534,7.812,0.639,0.591,0.048,0.006,0.007,0.013,-5.419,1.229,2.574,8.451,1.261,0.649,1.91,2.417
std,6.045,6.044,1.545,6.06,0.464,4.374,4.368,0.085,0.463,159.852,46.295,26.027,11.595,14.181,1.089,1.102,0.161,0.011,0.024,0.025,14.937,1.169,6.516,13.903,1.859,1.103,2.171,1.221
min,-13.188,-17.386,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57.923,0.0,0.0,0.0,0.0,0.0,0.002,0.84
25%,-2.913,-7.081,0.785,0.005,0.0,0.0,0.0,0.0,0.0,0.0,58.223,0.0,1.926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.532,0.362,0.006,0.0,0.081,0.0,0.083,1.368
50%,2.012,-2.169,1.808,0.29,0.024,0.002,0.0,0.0,0.001,100.92,86.345,0.0,8.736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.744,0.315,1.417,0.394,0.0,0.814,2.15
75%,7.273,3.062,3.082,1.929,0.151,0.461,0.232,0.005,0.08,282.693,139.108,10.392,21.918,9.381,0.874,0.667,0.0,0.007,0.0,0.019,0.91,1.841,2.085,9.381,1.629,0.859,3.421,3.357
max,15.866,11.702,8.451,77.098,4.634,77.098,40.966,1.413,4.634,479.529,196.956,121.3,35.672,54.528,4.947,4.947,1.053,0.049,0.158,0.158,53.969,5.935,81.733,54.84,8.548,4.947,9.188,6.46
sum,2279.288,-2309.422,2308.265,2609.645,211.202,1063.176,1546.469,25.29,185.913,167510.875,107700.998,13945.523,13737.649,8561.798,700.529,647.422,53.107,6.474,7.966,14.44,-5939.429,1347.253,2820.848,9262.327,1381.666,711.408,2093.074,2649.258
