,time,glacier_area,glacier_elev,smb_water_year,smb_scaled_cum
0,initial,343.95,4351,,
1,2016,301.44948893749995,4357,-1566.465497470575,-153.47836714285836
2,2017,296.84719412500004,4363,-1870.7051333151776,-314.11733777115
3,2018,290.5566376875,4372,-2386.705676879848,-515.9367034979673
