,time,glacier_area,glacier_elev,smb_water_year,smb_scaled_cum
0,initial,79.99,4529,,
1,2016,70.54531837500001,4530,-351.3481993698281,-51.89611756549266
2,2017,70.54531837500001,4530,-438.4320589208485,-109.00871877014231
3,2018,70.16445243749999,4531,-713.8752599398404,-202.0020850197812
