,avg_temp_catchment,avg_temp_glaciers,evap_off_glaciers,prec_off_glaciers,prec_on_glaciers,rain_off_glaciers,snow_off_glaciers,rain_on_glaciers,snow_on_glaciers,snowpack_off_glaciers,soil_moisture,upper_groundwater,lower_groundwater,melt_off_glaciers,melt_on_glaciers,ice_melt_on_glaciers,snow_melt_on_glaciers,refreezing_ice,refreezing_snow,total_refreezing,SMB,actual_evaporation,total_precipitation,total_melt,runoff_without_glaciers,runoff_from_glaciers,total_runoff,observed_runoff
count,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0
mean,5.065,0.544,2.116,1.288,0.071,0.438,0.85,0.007,0.064,23.673,72.396,2.377,8.696,1.967,0.782,0.759,0.023,0.008,0.003,0.011,-12.27,0.777,1.359,2.749,0.501,0.778,1.279,1.522
std,5.981,5.982,1.622,4.776,0.262,2.832,3.787,0.05,0.259,47.89,44.189,8.312,8.44,5.129,1.008,1.02,0.092,0.01,0.014,0.016,18.544,0.736,5.033,4.952,0.706,1.005,1.004,0.782
min,-11.637,-15.881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-75.393,0.0,0.0,0.0,0.0,0.0,0.004,0.522
25%,0.567,-3.958,0.816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.471,0.0,1.542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.409,0.25,0.0,0.025,0.064,0.0,0.469,0.989
50%,5.317,0.801,1.795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.182,0.0,5.71,0.0,0.151,0.0,0.0,0.0,0.0,0.005,-2.263,0.549,0.0,1.265,0.243,0.141,1.051,1.252
75%,9.885,5.379,3.065,0.022,0.001,0.0,0.0,0.0,0.0,26.047,106.839,0.0,14.279,0.0,1.495,1.494,0.0,0.015,0.0,0.018,0.0,1.069,0.023,2.597,0.665,1.492,1.96,1.863
max,19.355,15.231,9.599,77.488,3.559,77.488,51.25,1.361,3.559,252.393,193.737,71.226,33.408,38.475,4.946,4.946,0.908,0.049,0.136,0.136,57.3,5.376,80.546,38.868,5.128,4.896,5.372,10.45
sum,14799.142,1588.712,6184.387,3762.414,208.665,1279.605,2482.809,20.629,188.036,69171.991,211540.334,6945.825,25410.609,5748.316,2284.992,2218.493,66.5,22.185,9.975,32.16,-35852.553,2270.899,3971.079,8033.308,1462.583,2273.456,3736.039,4446.741
