,time,glacier_area,glacier_elev,smb_water_year,smb_scaled_cum
0,initial,343.95,4351,,
1,2011,296.847194125,4363,-3406.348506082289,-269.39547185096035
2,2012,282.43768025,4384,-5748.6800289773955,-661.7755809931157
3,2013,270.1540745,4405,-4159.122779796713,-931.8791208722467
4,2014,258.20675443749997,4430,-4512.2263567577575,-1212.1695696405397
5,2015,241.60154737499997,4463,-5476.206038613372,-1537.2967498851767
6,2016,232.1000224375,4486,-3355.3118308781286,-1723.693569755323
7,2017,219.75370687499995,4515,-4015.902427558883,-1938.0143263586037
8,2018,207.0111164374999,4545,-4438.086656102371,-2162.2671325736133
