,avg_temp_catchment,avg_temp_glaciers,evap_off_glaciers,prec_off_glaciers,prec_on_glaciers,rain_off_glaciers,snow_off_glaciers,rain_on_glaciers,snow_on_glaciers,snowpack_off_glaciers,soil_moisture,upper_groundwater,lower_groundwater,melt_off_glaciers,melt_on_glaciers,ice_melt_on_glaciers,snow_melt_on_glaciers,refreezing_ice,refreezing_snow,total_refreezing,SMB,actual_evaporation,total_precipitation,total_melt,runoff_without_glaciers,runoff_from_glaciers,total_runoff,observed_runoff
count,3652.0,3652.0,3652.0,3652.0,3652.0,3652.0,3652.0,3652.0,3652.0,3652.0,3652.0,3652.0,3652.0,3652.0,3652.0,3652.0,3652.0,3652.0,3652.0,3652.0,3652.0,3652.0,3652.0,3652.0,3652.0,3652.0,3652.0,3652.0
mean,2.751,-2.675,1.473,0.333,0.044,0.072,0.261,0.003,0.041,12.009,32.747,0.023,1.339,0.633,0.438,0.429,0.008,0.004,0.001,0.006,-3.14,0.285,0.378,1.07,0.057,0.436,0.493,0.293
std,5.711,5.711,0.761,1.608,0.213,0.602,1.438,0.034,0.211,24.198,17.165,0.33,2.331,2.086,0.763,0.765,0.053,0.008,0.008,0.011,6.483,0.224,1.821,2.099,0.106,0.761,0.751,0.603
min,-13.911,-19.326,0.119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.723,0.0,0.0,0.0,0.0,0.0,0.0,0.062
25%,-1.526,-6.948,0.802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.505,0.0,0.195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.308,0.115,0.0,0.0,0.008,0.0,0.02,0.11
50%,3.096,-2.33,1.428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.95,0.0,0.594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.226,0.0,0.096,0.025,0.0,0.086,0.145
75%,7.303,1.874,2.054,0.0,0.0,0.0,0.0,0.0,0.0,13.115,43.276,0.0,1.456,0.0,0.664,0.645,0.0,0.006,0.0,0.009,0.0,0.398,0.0,1.364,0.06,0.659,0.731,0.247
max,16.788,11.355,3.9,30.536,3.956,16.94,30.536,0.954,3.956,121.885,107.374,8.209,20.153,21.059,4.273,4.273,0.904,0.043,0.136,0.136,30.536,1.592,34.492,21.37,1.138,4.23,4.235,16.911
sum,10047.912,-9770.041,5377.774,1216.537,162.103,263.629,952.907,12.262,149.841,43857.207,119591.668,84.66,4888.853,2310.527,1598.48,1567.888,30.592,15.679,4.589,20.268,-11466.593,1042.34,1378.639,3909.007,208.599,1590.474,1799.073,1068.467
