Date,Qobs
10/19/2015,1.25
10/20/2015,1.14
10/21/2015,1.13
10/22/2015,1.17
10/23/2015,1.32
10/24/2015,1.31
10/25/2015,1.35
10/26/2015,1.51
10/27/2015,1.5
10/28/2015,1.64
10/29/2015,2.17
10/30/2015,2.41
10/31/2015,1.78
11/1/2015,0.888
11/2/2015,0.851
11/3/2015,0.844
11/4/2015,0.843
11/5/2015,0.834
11/6/2015,0.84
11/7/2015,0.955
11/8/2015,0.976
11/9/2015,0.894
11/10/2015,0.813
11/11/2015,0.834
11/12/2015,0.812
11/13/2015,0.838
11/14/2015,0.994
11/15/2015,0.958
11/16/2015,0.937
11/17/2015,1.1
11/18/2015,0.901
11/19/2015,0.873
11/20/2015,0.89
11/21/2015,0.881
11/22/2015,1.03
11/23/2015,0.911
11/24/2015,0.842
11/25/2015,0.844
11/26/2015,0.84
11/27/2015,0.853
11/28/2015,0.818
11/29/2015,0.822
11/30/2015,0.788
12/1/2015,0.843
12/2/2015,0.824
12/3/2015,0.774
12/4/2015,0.879
12/5/2015,0.859
12/6/2015,0.993
12/7/2015,1.05
12/8/2015,1.2
12/9/2015,1.33
12/10/2015,1.03
12/11/2015,1.08
12/12/2015,0.838
12/13/2015,0.896
12/14/2015,0.97
12/15/2015,0.89
12/16/2015,1.01
12/17/2015,1.07
12/18/2015,1.01
12/19/2015,1.05
12/20/2015,0.883
12/21/2015,0.882
12/22/2015,0.986
12/23/2015,0.904
12/24/2015,1.76
12/25/2015,2.91
12/26/2015,2.66
12/27/2015,2.58
12/28/2015,1.21
12/29/2015,1.76
12/30/2015,3.4
12/31/2015,1.94
1/1/2016,5.44
1/2/2016,4.69
1/3/2016,4.07
1/4/2016,2.07
1/5/2016,2.09
1/6/2016,1.79
1/7/2016,1.91
1/8/2016,1.54
1/9/2016,1.76
1/10/2016,1.73
1/11/2016,3.21
1/12/2016,2.63
1/13/2016,1.66
1/14/2016,1.34
1/15/2016,1.64
1/16/2016,2.43
1/17/2016,3.94
1/18/2016,5.17
1/19/2016,7.34
1/20/2016,9.98
1/21/2016,13.7
1/22/2016,22.9
1/23/2016,21.4
1/24/2016,14.6
1/25/2016,4.84
1/26/2016,1.34
1/27/2016,1.23
1/28/2016,1.03
1/29/2016,1.05
1/30/2016,1.11
1/31/2016,1.09
2/1/2016,1.15
2/2/2016,1.41
2/3/2016,0.99
2/4/2016,1.06
2/5/2016,1.45
2/6/2016,0.996
2/7/2016,1.11
2/8/2016,1.42
2/9/2016,0.831
2/10/2016,1.46
2/11/2016,1.56
2/12/2016,1.66
2/13/2016,1.56
2/14/2016,1.2
2/15/2016,1.32
2/16/2016,1.75
2/17/2016,1.21
2/18/2016,0.907
2/19/2016,2.19
2/20/2016,0.939
2/21/2016,3.54
2/22/2016,4.83
2/23/2016,4.74
2/24/2016,4.8
2/25/2016,3.02
2/26/2016,1.4
2/27/2016,0.802
2/28/2016,0.861
2/29/2016,1.07
3/1/2016,0.909
3/2/2016,1.01
3/3/2016,0.969
3/4/2016,0.979
3/5/2016,0.949
3/6/2016,1.03
3/7/2016,1.23
3/8/2016,0.885
3/9/2016,1.49
3/10/2016,1.7
3/11/2016,1.49
3/12/2016,1.53
3/13/2016,1.39
3/14/2016,1.38
3/15/2016,1.55
3/16/2016,1.63
3/17/2016,1.72
3/18/2016,1.29
3/19/2016,1.19
3/20/2016,1.38
3/21/2016,1.24
3/22/2016,1.34
3/23/2016,1.26
3/24/2016,1.54
3/25/2016,1.25
3/26/2016,1.06
3/27/2016,0.956
3/28/2016,1
3/29/2016,0.944
3/30/2016,0.941
3/31/2016,1.1
4/1/2016,1.09
4/2/2016,1.56
4/3/2016,1.63
4/4/2016,1.18
4/5/2016,0.87
4/6/2016,1.01
4/7/2016,0.924
4/8/2016,0.918
4/9/2016,0.911
4/10/2016,2.1
4/11/2016,1.34
4/12/2016,0.914
4/13/2016,0.871
4/14/2016,0.908
4/15/2016,1.06
4/16/2016,2.94
4/17/2016,3.75
4/18/2016,1.69
4/19/2016,1.41
4/20/2016,1.21
4/21/2016,1.7
4/22/2016,2.29
4/23/2016,1.78
4/24/2016,1.75
4/25/2016,1.44
4/26/2016,1.53
4/27/2016,1.68
4/28/2016,1.69
4/29/2016,1.65
4/30/2016,1.59
5/1/2016,1.69
5/2/2016,1.88
5/3/2016,1.63
5/4/2016,1.47
5/5/2016,1.7
5/6/2016,1.6
5/7/2016,1.56
5/8/2016,1.55
5/9/2016,1.51
5/10/2016,1.55
5/11/2016,1.58
5/12/2016,1.47
5/13/2016,1.53
5/14/2016,1.47
5/15/2016,1.48
5/16/2016,1.35
5/17/2016,1.32
5/18/2016,1.38
5/19/2016,1.14
5/20/2016,1.19
5/21/2016,1.41
5/22/2016,1.46
5/23/2016,1.47
5/24/2016,1.43
5/25/2016,1.41
5/26/2016,1.48
5/27/2016,1.53
5/28/2016,1.36
5/29/2016,1.59
5/30/2016,1.62
5/31/2016,1.56
6/1/2016,1.61
6/2/2016,1.63
6/3/2016,1.7
6/4/2016,1.5
6/5/2016,1.66
6/6/2016,2.43
6/7/2016,1.37
6/8/2016,1.32
6/9/2016,1.78
6/10/2016,1.72
6/11/2016,1.71
6/12/2016,1.69
6/13/2016,1.99
6/14/2016,1.73
6/15/2016,1.67
6/16/2016,1.79
6/17/2016,1.62
6/18/2016,1.51
6/19/2016,1.46
6/20/2016,1.58
6/21/2016,1.57
6/22/2016,1.49
6/23/2016,1.46
6/24/2016,1.45
6/25/2016,1.38
