,time,glacier_area,glacier_elev,smb_water_year,smb_scaled_cum
0,initial,79.99,4529,,
1,2011,70.16445243749999,4531,-1497.6627660117833,-221.21326683276254
2,2012,68.9930611875,4535,-2340.1762292709723,-524.4118334176601
3,2013,68.16999518749999,4537,-1539.2575154245121,-720.5120789074626
4,2014,67.3744669375,4540,-1748.8228436985005,-940.6528689337148
5,2015,66.13971893749999,4543,-2471.502900565994,-1248.133601017768
6,2016,65.25412706249999,4547,-1372.2719349099502,-1415.7297234086152
7,2017,64.4098684375,4549,-1734.7093217565325,-1624.7537147268756
8,2018,63.53938962499999,4552,-1954.3645961354707,-1857.1983025137715
