,avg_temp_catchment,avg_temp_glaciers,evap_off_glaciers,prec_off_glaciers,prec_on_glaciers,rain_off_glaciers,snow_off_glaciers,rain_on_glaciers,snow_on_glaciers,snowpack_off_glaciers,soil_moisture,upper_groundwater,lower_groundwater,melt_off_glaciers,melt_on_glaciers,ice_melt_on_glaciers,snow_melt_on_glaciers,refreezing_ice,refreezing_snow,total_refreezing,SMB,actual_evaporation,total_precipitation,total_melt,runoff_without_glaciers,runoff_from_glaciers,total_runoff,observed_runoff
count,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0,2922.0
mean,2.796,-2.639,1.62,0.658,0.087,0.143,0.515,0.006,0.08,25.318,51.889,0.454,3.687,1.3,0.709,0.692,0.017,0.007,0.003,0.009,-5.029,0.481,0.745,2.009,0.18,0.706,0.886,0.297
std,5.64,5.641,1.211,3.03,0.404,1.093,2.695,0.064,0.4,49.939,26.716,3.089,4.904,3.974,1.263,1.266,0.1,0.013,0.015,0.019,11.029,0.471,3.432,3.953,0.33,1.261,1.248,0.657
min,-13.903,-19.314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56.129,0.0,0.0,0.0,0.0,0.0,0.0,0.062
25%,-1.309,-6.745,0.638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.938,0.0,0.633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.305,0.146,0.0,0.0,0.026,0.0,0.063,0.105
50%,3.085,-2.348,1.392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.23,0.0,1.781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.338,0.0,0.264,0.074,0.0,0.269,0.144
75%,7.241,1.799,2.309,0.0,0.0,0.0,0.0,0.0,0.0,28.697,70.746,0.0,4.748,0.0,1.026,0.964,0.0,0.01,0.0,0.014,0.0,0.665,0.0,2.413,0.202,1.013,1.268,0.239
max,16.781,11.339,7.759,44.782,6.23,33.846,44.782,1.46,6.23,246.112,152.787,49.201,30.442,40.248,7.223,7.223,1.514,0.072,0.227,0.227,51.013,3.877,51.013,40.758,3.792,7.151,7.165,16.911
sum,8170.023,-7711.231,4732.808,1923.634,254.106,419.14,1504.495,18.926,235.18,73978.332,151619.352,1327.967,10774.259,3798.307,2071.54,2021.34,50.2,20.213,7.53,27.743,-14694.128,1406.615,2177.741,5869.847,526.111,2062.722,2588.833,867.807
