Date,Qobs
1/1/2015,237
1/2/2015,225
1/3/2015,213
1/4/2015,183
1/5/2015,158
1/6/2015,143
1/7/2015,143
1/8/2015,143
1/9/2015,139
1/10/2015,148
1/11/2015,166
1/12/2015,179
1/13/2015,151
1/14/2015,156
1/15/2015,161
1/16/2015,168
1/17/2015,173
1/18/2015,179
1/19/2015,185
1/20/2015,191
1/21/2015,209
1/22/2015,218
1/23/2015,218
1/24/2015,215
1/25/2015,164
1/26/2015,140
1/27/2015,137
1/28/2015,129
1/29/2015,124
1/30/2015,122
1/31/2015,129
2/1/2015,132
2/2/2015,133
2/3/2015,130
2/4/2015,130
2/5/2015,129
2/6/2015,129
2/7/2015,136
2/8/2015,139
2/9/2015,134
2/10/2015,141
2/11/2015,139
2/12/2015,139
2/13/2015,132
2/14/2015,128
2/15/2015,129
2/16/2015,132
2/17/2015,129
2/18/2015,124
2/19/2015,124
2/20/2015,122
2/21/2015,131
2/22/2015,138
2/23/2015,139
2/24/2015,134
2/25/2015,128
2/26/2015,121
2/27/2015,112
2/28/2015,111
3/1/2015,111
3/2/2015,110
3/3/2015,112
3/4/2015,110
3/5/2015,103
3/6/2015,104
3/7/2015,106
3/8/2015,97.4
3/9/2015,94.6
3/10/2015,101
3/11/2015,107
3/12/2015,108
3/13/2015,108
3/14/2015,108
3/15/2015,108
3/16/2015,107
3/17/2015,107
3/18/2015,105
3/19/2015,100
3/20/2015,99.2
3/21/2015,96.8
3/22/2015,94.8
3/23/2015,93.8
3/24/2015,95.2
3/25/2015,95.6
3/26/2015,93.5
3/27/2015,91.3
3/28/2015,87.5
3/29/2015,86.3
3/30/2015,87.6
3/31/2015,87.7
4/1/2015,86
4/2/2015,83.7
4/3/2015,81.7
4/4/2015,81
4/5/2015,80.3
4/6/2015,79.8
4/7/2015,82.8
4/8/2015,80.5
4/9/2015,81.6
4/10/2015,80
4/11/2015,77.6
4/12/2015,78.1
4/13/2015,83.3
4/14/2015,84.5
4/15/2015,86.5
4/16/2015,188
4/17/2015,344
4/18/2015,526
4/19/2015,142
4/20/2015,112
4/21/2015,98.1
4/22/2015,90.9
4/23/2015,86.5
4/24/2015,90.8
4/25/2015,104
4/26/2015,90.7
4/27/2015,85.5
4/28/2015,83.4
4/29/2015,81.2
4/30/2015,79.3
5/1/2015,80.1
5/2/2015,84.7
5/3/2015,98.3
5/4/2015,89.3
5/5/2015,88.2
5/6/2015,85.2
5/7/2015,83.3
5/8/2015,79.4
5/9/2015,77.5
5/10/2015,76.4
5/11/2015,75.7
5/12/2015,76.8
5/13/2015,77.1
5/14/2015,74.4
5/15/2015,74.7
5/16/2015,72.8
5/17/2015,72
5/18/2015,70.7
5/19/2015,70.4
5/20/2015,72.1
5/21/2015,72.1
5/22/2015,69.4
5/23/2015,67.9
5/24/2015,68.6
5/25/2015,66.9
5/26/2015,66.1
5/27/2015,64.8
5/28/2015,64.6
5/29/2015,64.2
5/30/2015,77.5
5/31/2015,80.9
6/1/2015,72.3
6/2/2015,70.3
6/3/2015,69.5
6/4/2015,81.2
6/5/2015,76.5
6/6/2015,80.7
6/7/2015,75.1
6/8/2015,74.3
6/9/2015,73.8
6/10/2015,71.6
6/11/2015,69.7
6/12/2015,70
6/13/2015,71.9
6/14/2015,119
6/15/2015,107
6/16/2015,92
6/17/2015,82.4
6/18/2015,80.4
6/19/2015,78.8
6/20/2015,75.6
6/21/2015,73.9
6/22/2015,72.8
6/23/2015,71.7
6/24/2015,70.7
6/25/2015,69.3
6/26/2015,67.8
6/27/2015,67.7
6/28/2015,68.1
6/29/2015,68.2
6/30/2015,66.9
7/1/2015,67.6
7/2/2015,66.6
7/3/2015,67.6
7/4/2015,66.9
7/5/2015,65.5
7/6/2015,64.4
7/7/2015,63.7
7/8/2015,63.2
7/9/2015,62.6
7/10/2015,62.3
7/11/2015,61.7
7/12/2015,63.9
7/13/2015,62
7/14/2015,65.3
7/15/2015,63.5
7/16/2015,62.5
7/17/2015,61.9
7/18/2015,61.4
7/19/2015,64.1
7/20/2015,64.5
7/21/2015,62.5
7/22/2015,63
7/23/2015,63.3
7/24/2015,64.7
7/25/2015,63.9
7/26/2015,74.6
7/27/2015,65.9
7/28/2015,72.2
7/29/2015,72.2
7/30/2015,70.1
7/31/2015,69.2
8/1/2015,69.6
8/2/2015,68
8/3/2015,67.2
8/4/2015,67
8/5/2015,66.1
8/6/2015,67.5
8/7/2015,66.5
8/8/2015,66.6
8/9/2015,65.8
8/10/2015,64.4
8/11/2015,65.5
8/12/2015,66.6
8/13/2015,66.3
8/14/2015,70.7
8/15/2015,75.1
8/16/2015,76.9
8/17/2015,72.5
8/18/2015,68.6
8/19/2015,65.8
8/20/2015,65.6
8/21/2015,63
8/22/2015,61
8/23/2015,64.5
8/24/2015,68
8/25/2015,68.8
8/26/2015,69.9
8/27/2015,68.2
8/28/2015,65.9
8/29/2015,64.8
8/30/2015,64.2
8/31/2015,65.5
9/1/2015,66.2
9/2/2015,66.5
9/3/2015,63.3
9/4/2015,63.5
9/5/2015,62.1
9/6/2015,62
9/7/2015,63
9/8/2015,64.6
9/9/2015,66.5
9/10/2015,68.8
9/11/2015,70.3
9/12/2015,75.3
9/13/2015,72
9/14/2015,69.4
9/15/2015,69.7
9/16/2015,70.1
9/17/2015,68.9
9/18/2015,66.1
9/19/2015,67.5
9/20/2015,71.3
9/21/2015,79
9/22/2015,82.6
9/23/2015,87
9/24/2015,89.1
9/25/2015,87.7
9/26/2015,90.4
9/27/2015,94.1
9/28/2015,98.6
9/29/2015,103
9/30/2015,104
10/1/2015,96.3
10/2/2015,89.4
10/3/2015,85.1
10/4/2015,90.6
10/5/2015,95.5
10/6/2015,89.4
10/7/2015,91.8
10/8/2015,86.4
10/9/2015,84.8
10/10/2015,82.3
10/11/2015,86.7
10/12/2015,85.4
10/13/2015,82.8
10/14/2015,83.7
10/15/2015,81.4
10/16/2015,81.7
10/17/2015,87.8
10/18/2015,83.4
10/19/2015,80.3
10/20/2015,77.5
10/21/2015,78.6
10/22/2015,79.8
10/23/2015,82.1
10/24/2015,81.5
10/25/2015,80.4
10/26/2015,78.2
10/27/2015,80
10/28/2015,92.8
10/29/2015,109
10/30/2015,127
10/31/2015,125
11/1/2015,98.8
11/2/2015,94.3
11/3/2015,94
11/4/2015,99.7
11/5/2015,120
11/6/2015,141
11/7/2015,147
11/8/2015,152
11/9/2015,164
11/10/2015,165
11/11/2015,162
11/12/2015,162
11/13/2015,162
11/14/2015,148
11/15/2015,133
11/16/2015,129
11/17/2015,131
11/18/2015,124
11/19/2015,138
11/20/2015,153
11/21/2015,148
11/22/2015,134
11/23/2015,136
11/24/2015,146
11/25/2015,138
11/26/2015,129
11/27/2015,129
11/28/2015,127
11/29/2015,127
11/30/2015,138
12/1/2015,146
12/2/2015,156
12/3/2015,162
12/4/2015,173
12/5/2015,189
12/6/2015,170
12/7/2015,161
12/8/2015,152
12/9/2015,151
12/10/2015,152
12/11/2015,140
12/12/2015,140
12/13/2015,156
12/14/2015,155
12/15/2015,165
12/16/2015,180
12/17/2015,197
12/18/2015,197
12/19/2015,192
12/20/2015,191
12/21/2015,201
12/22/2015,203
12/23/2015,193
12/24/2015,178
12/25/2015,182
12/26/2015,177
12/27/2015,161
12/28/2015,147
12/29/2015,143
12/30/2015,154
12/31/2015,182
1/1/2016,191
1/2/2016,193
1/3/2016,194
1/4/2016,192
1/5/2016,170
1/6/2016,174
1/7/2016,182
1/8/2016,185
1/9/2016,190
1/10/2016,171
1/11/2016,158
1/12/2016,152
1/13/2016,169
1/14/2016,181
1/15/2016,188
1/16/2016,179
1/17/2016,181
1/18/2016,179
1/19/2016,179
1/20/2016,182
1/21/2016,186
1/22/2016,200
1/23/2016,204
1/24/2016,198
1/25/2016,197
1/26/2016,203
1/27/2016,192
1/28/2016,194
1/29/2016,203
1/30/2016,208
1/31/2016,205
2/1/2016,177
2/2/2016,165
2/3/2016,163
2/4/2016,154
2/5/2016,146
2/6/2016,141
2/7/2016,142
2/8/2016,148
2/9/2016,148
2/10/2016,151
2/11/2016,145
2/12/2016,145
2/13/2016,150
2/14/2016,152
2/15/2016,152
2/16/2016,153
2/17/2016,147
2/18/2016,141
2/19/2016,137
2/20/2016,140
2/21/2016,150
2/22/2016,157
2/23/2016,159
2/24/2016,168
2/25/2016,167
2/26/2016,158
2/27/2016,150
2/28/2016,122
2/29/2016,117
3/1/2016,117
3/2/2016,113
3/3/2016,102
3/4/2016,94.1
3/5/2016,87.2
3/6/2016,84.6
3/7/2016,86.6
3/8/2016,84.2
3/9/2016,84.8
3/10/2016,82.6
3/11/2016,85
3/12/2016,85.2
3/13/2016,92.2
3/14/2016,97.6
3/15/2016,92.4
3/16/2016,89.3
3/17/2016,89.6
3/18/2016,90.8
3/19/2016,87.3
3/20/2016,86.7
3/21/2016,83.8
3/22/2016,80.7
3/23/2016,80.3
3/24/2016,81.3
3/25/2016,82.1
3/26/2016,77.9
3/27/2016,75.2
3/28/2016,76.4
3/29/2016,78.1
3/30/2016,71.6
3/31/2016,73.4
4/1/2016,76.4
4/2/2016,74.1
4/3/2016,72.3
4/4/2016,72.4
4/5/2016,71.3
4/6/2016,69.1
4/7/2016,70.5
4/8/2016,67.9
4/9/2016,66.6
4/10/2016,65.4
4/11/2016,65.4
4/12/2016,66.7
4/13/2016,68.7
4/14/2016,65.4
4/15/2016,62.5
4/16/2016,57.4
4/17/2016,62.1
4/18/2016,66.6
4/19/2016,64.3
4/20/2016,150
4/21/2016,110
4/22/2016,70.2
4/23/2016,62.6
4/24/2016,56.5
4/25/2016,55
4/26/2016,64.6
4/27/2016,66.8
4/28/2016,66.1
4/29/2016,63.4
4/30/2016,62.3
5/1/2016,59.9
5/2/2016,60.7
5/3/2016,62.3
5/4/2016,63.7
5/5/2016,62.6
5/6/2016,61.9
5/7/2016,62.6
5/8/2016,65.8
5/9/2016,60.8
5/10/2016,60.5
5/11/2016,76
5/12/2016,72.9
5/13/2016,65.5
5/14/2016,70.7
5/15/2016,65.3
5/16/2016,64.2
5/17/2016,62.2
5/18/2016,62.9
5/19/2016,59.1
5/20/2016,57.6
5/21/2016,52.7
5/22/2016,52.5
5/23/2016,51.8
5/24/2016,51.4
5/25/2016,57.8
5/26/2016,55.2
5/27/2016,59.1
5/28/2016,55.8
5/29/2016,53.4
5/30/2016,NA
5/31/2016,NA
6/1/2016,47.2
6/2/2016,47.3
6/3/2016,44.5
6/4/2016,48.1
6/5/2016,60.4
6/6/2016,61.7
6/7/2016,53.6
6/8/2016,55
6/9/2016,59.4
6/10/2016,61.1
6/11/2016,57
6/12/2016,61.3
6/13/2016,61
6/14/2016,56.1
6/15/2016,57.5
6/16/2016,90.1
6/17/2016,89.3
6/18/2016,52.2
6/19/2016,50.7
6/20/2016,61.1
6/21/2016,62.8
6/22/2016,63.2
6/23/2016,66.6
6/24/2016,66
6/25/2016,60.7
6/26/2016,61.4
6/27/2016,62.3
6/28/2016,60.7
6/29/2016,58.7
6/30/2016,59
7/1/2016,59.3
7/2/2016,61.7
7/3/2016,61.9
7/4/2016,59.3
7/5/2016,55.9
7/6/2016,54
7/7/2016,50.4
7/8/2016,48.6
7/9/2016,48.3
7/10/2016,49.1
7/11/2016,54.3
7/12/2016,54.8
7/13/2016,52.8
7/14/2016,50.5
7/15/2016,52.7
7/16/2016,48.8
7/17/2016,52.8
7/18/2016,58.5
7/19/2016,55.6
7/20/2016,58.8
7/21/2016,58.3
7/22/2016,58.7
7/23/2016,57
7/24/2016,61.2
7/25/2016,55.3
7/26/2016,56.1
7/27/2016,59.7
7/28/2016,56
7/29/2016,58.4
7/30/2016,55.1
7/31/2016,55.4
8/1/2016,54.4
8/2/2016,51.4
8/3/2016,52.6
8/4/2016,57.9
8/5/2016,53.8
8/6/2016,51.3
8/7/2016,53.2
8/8/2016,51.7
8/9/2016,53.9
8/10/2016,54.7
8/11/2016,54.8
8/12/2016,50.6
8/13/2016,49.1
8/14/2016,49.3
8/15/2016,50.4
8/16/2016,53.1
8/17/2016,53.1
8/18/2016,53.2
8/19/2016,52.1
8/20/2016,51.8
8/21/2016,51.6
8/22/2016,51.9
8/23/2016,48.7
8/24/2016,46.7
8/25/2016,49.7
8/26/2016,49.2
8/27/2016,47.8
8/28/2016,47.8
8/29/2016,47.7
8/30/2016,47.6
8/31/2016,48.8
9/1/2016,53.9
9/2/2016,49.3
9/3/2016,48
9/4/2016,45.6
9/5/2016,46
9/6/2016,48.6
9/7/2016,45.7
9/8/2016,50.1
9/9/2016,42.8
9/10/2016,45.8
9/11/2016,45.4
9/12/2016,45
9/13/2016,47.7
9/14/2016,47.1
9/15/2016,42.4
9/16/2016,43.6
9/17/2016,53.7
9/18/2016,63
9/19/2016,70.1
9/20/2016,66.5
9/21/2016,62.6
9/22/2016,71.8
9/23/2016,72.2
9/24/2016,79.3
9/25/2016,75.9
9/26/2016,73.6
9/27/2016,70.4
9/28/2016,75.2
9/29/2016,80
9/30/2016,76.1
10/1/2016,63
10/2/2016,65.1
10/3/2016,66.1
10/4/2016,62.3
10/5/2016,67.7
10/6/2016,74.4
10/7/2016,79.1
10/8/2016,76.3
10/9/2016,71.1
10/10/2016,69.1
10/11/2016,70.9
10/12/2016,70.9
10/13/2016,69.7
10/14/2016,74.4
10/15/2016,83.6
10/16/2016,99.9
10/17/2016,96.1
10/18/2016,92.4
10/19/2016,95.2
10/20/2016,94.3
10/21/2016,86.7
10/22/2016,94.7
10/23/2016,99.6
10/24/2016,98.9
10/25/2016,105
10/26/2016,105
10/27/2016,97.4
10/28/2016,96.6
10/29/2016,81.3
10/30/2016,71.7
10/31/2016,74
11/1/2016,70.6
11/2/2016,70.2
11/3/2016,66.3
11/4/2016,63.7
11/5/2016,67.4
11/6/2016,73.9
11/7/2016,77.8
11/8/2016,74.2
11/9/2016,79
11/10/2016,82.4
11/11/2016,95.1
11/12/2016,113
11/13/2016,136
11/14/2016,144
11/15/2016,132
11/16/2016,119
11/17/2016,123
11/18/2016,115
11/19/2016,126
11/20/2016,120
11/21/2016,98.6
11/22/2016,106
11/23/2016,123
11/24/2016,130
11/25/2016,130
11/26/2016,149
11/27/2016,161
11/28/2016,170
11/29/2016,171
