,avg_temp_catchment,avg_temp_glaciers,evap_off_glaciers,prec_off_glaciers,prec_on_glaciers,rain_off_glaciers,snow_off_glaciers,rain_on_glaciers,snow_on_glaciers,snowpack_off_glaciers,soil_moisture,upper_groundwater,lower_groundwater,melt_off_glaciers,melt_on_glaciers,ice_melt_on_glaciers,snow_melt_on_glaciers,refreezing_ice,refreezing_snow,total_refreezing,SMB,actual_evaporation,total_precipitation,total_melt,runoff_without_glaciers,runoff_from_glaciers,total_runoff,observed_runoff
count,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0,1096.0
mean,5.097,0.914,2.075,1.488,0.089,0.681,0.807,0.007,0.081,19.459,85.13,3.732,10.29,1.595,0.924,0.887,0.037,0.009,0.006,0.014,-12.907,0.861,1.576,2.519,0.646,0.917,1.563,1.734
std,5.924,5.918,1.513,5.613,0.318,4.256,3.451,0.048,0.315,36.689,49.006,11.439,9.099,4.16,1.163,1.181,0.135,0.012,0.02,0.021,19.404,0.718,5.927,4.014,0.877,1.158,1.132,0.898
min,-10.644,-14.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-74.277,0.0,0.0,0.0,0.0,0.0,0.013,0.522
25%,0.41,-3.76,0.859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.099,0.0,2.089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.844,0.328,0.0,0.087,0.087,0.0,0.599,1.093
50%,5.351,1.14,1.733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.03,0.0,7.652,0.0,0.224,0.0,0.0,0.0,0.0,0.008,-2.917,0.663,0.0,1.475,0.337,0.192,1.389,1.455
75%,9.789,5.637,3.049,0.026,0.002,0.0,0.0,0.0,0.0,26.901,115.974,0.0,16.441,0.062,1.81,1.807,0.0,0.018,0.0,0.022,0.0,1.196,0.027,2.818,0.819,1.792,2.305,2.185
max,19.141,15.006,8.819,81.856,3.89,81.856,35.913,0.661,3.89,182.344,198.597,78.902,32.22,34.225,4.872,4.872,1.269,0.049,0.19,0.19,57.3,5.116,85.747,34.973,5.399,4.824,5.497,10.45
sum,5586.661,1001.948,2274.272,1630.494,97.34,746.116,884.378,8.139,89.201,21327.443,93302.782,4089.925,11278.298,1748.051,1013.138,972.68,40.458,9.727,6.069,15.795,-14146.505,944.129,1727.834,2761.189,707.521,1005.477,1712.998,1900.44
