,time,glacier_area,glacier_elev,smb_water_year,smb_scaled_cum
0,initial,343.95,4351,,
1,2016,295.2766339374999,4365,-3900.965027217773,-308.5128583599012
2,2017,282.43768025,4384,-4694.504844984288,-627.2442007965881
3,2018,268.24846249999996,4409,-5212.546537787883,-965.7596393117337
