,time,glacier_area,glacier_elev,smb_water_year,smb_scaled_cum
0,initial,343.95,4351,,
1,2016,284.09576581249996,4381,-7720.58580168577,-610.5925014123372
2,2017,260.28861025,4425,-8460.086648897182,-1163.2365163789614
3,2018,234.72113762499995,4479,-8453.857087504697,-1669.196261711378
