,avg_temp_catchment,avg_temp_glaciers,evap_off_glaciers,prec_off_glaciers,prec_on_glaciers,rain_off_glaciers,snow_off_glaciers,rain_on_glaciers,snow_on_glaciers,snowpack_off_glaciers,soil_moisture,upper_groundwater,lower_groundwater,melt_off_glaciers,melt_on_glaciers,ice_melt_on_glaciers,snow_melt_on_glaciers,refreezing_ice,refreezing_snow,total_refreezing,SMB,actual_evaporation,total_precipitation,total_melt,runoff_without_glaciers,runoff_from_glaciers,total_runoff,observed_runoff
count,1094.0,1094.0,1094.0,1094.0,1094.0,1094.0,1094.0,1094.0,1094.0,1094.0,1094.0,1094.0,1094.0,1094.0,1094.0,1094.0,1094.0,1094.0,1094.0,1094.0,1094.0,1094.0,1094.0,1094.0,1094.0,1094.0,1094.0,1094.0
mean,8.213,3.885,2.133,1.075,0.059,0.661,0.415,0.014,0.045,1.937,70.213,1.123,7.744,0.469,1.41,1.371,0.039,0.014,0.006,0.02,-23.066,0.729,1.134,1.879,0.388,1.405,1.793,1.404
std,6.092,6.065,1.553,4.0,0.214,3.118,2.22,0.08,0.197,6.591,40.272,3.823,7.759,2.039,1.381,1.41,0.14,0.014,0.021,0.022,24.144,0.604,4.211,2.2,0.459,1.371,1.21,0.764
min,-7.862,-11.957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-88.251,0.0,0.0,0.0,0.0,0.0,0.008,0.393
25%,3.574,-0.7,0.939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.303,0.0,1.421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.598,0.284,0.0,0.151,0.059,0.001,0.739,0.875
50%,8.641,4.252,1.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.634,0.0,4.482,0.0,1.142,1.061,0.0,0.011,0.0,0.017,-18.804,0.545,0.0,1.588,0.189,1.151,1.724,1.171
75%,12.966,8.606,3.027,0.014,0.001,0.0,0.0,0.0,0.0,0.0,106.222,0.0,12.934,0.0,2.517,2.517,0.0,0.025,0.0,0.028,0.0,1.042,0.015,2.742,0.582,2.514,2.671,1.766
max,21.923,17.829,8.393,46.882,2.492,44.544,38.142,1.288,2.492,53.806,152.762,32.651,29.761,20.501,5.823,5.823,1.292,0.058,0.194,0.194,38.142,3.538,48.888,20.93,2.461,5.765,5.766,4.132
sum,8984.939,4250.413,2333.17,1176.222,64.529,722.674,453.548,15.757,48.772,2118.879,76813.483,1228.998,8472.476,512.928,1542.59,1499.951,42.639,15.0,6.396,21.395,-25234.638,797.706,1240.751,2055.518,424.657,1536.952,1961.609,1536.055
