Area,Elevation,Area1,Elevation1,Area2,Elevation2,Area3,Elevation3,Area4,Elevation4,Area5,Elevation5
,5600,528125,4290,525625,3820,256250,4100,207500,3390,463125,3780
,5650,590000,4300,486875,3830,255000,4110,221250,3400,528750,3790
,5700,686250,4310,468750,3840,235000,4120,223125,3410,542500,3800
,5750,693125,4320,445000,3850,221875,4130,267500,3420,513750,3810
,5800,685000,4330,416875,3860,231250,4140,291875,3430,513750,3820
,5850,781875,4340,430000,3870,206250,4150,265625,3440,498125,3830
,5900,780625,4350,417500,3880,203750,4160,242500,3450,455000,3840
,5950,876875,4360,393750,3890,211875,4170,208125,3460,433125,3850
,6000,823750,4370,373750,3900,213750,4180,206875,3470,439375,3860
,6050,826250,4380,351875,3910,206875,4190,218750,3480,472500,3870
,6100,993125,4390,354375,3920,199375,4200,216875,3490,493125,3880
,6150,996250,4400,327500,3930,200000,4210,200000,3500,460625,3890
,6200,812500,4410,295000,3940,208125,4220,193125,3510,395625,3900
,6250,847500,4420,273125,3950,221875,4230,193750,3520,369375,3910
,6300,844375,4430,266875,3960,218750,4240,206250,3530,389375,3920
,6350,946250,4440,265000,3970,240000,4250,206250,3540,382500,3930
,6400,1069375,4450,261875,3980,238125,4260,204375,3550,380000,3940
,6450,991250,4460,227500,3990,251250,4270,241250,3560,401250,3950
,6500,936875,4470,222500,4000,256875,4280,263125,3570,431250,3960
,6550,900625,4480,226875,4010,308750,4290,264375,3580,432500,3970
,6573,983750,4490,210000,4020,321250,4300,300625,3590,421875,3980
,,1023750,4500,206250,4030,301875,4310,315000,3600,403750,3990
,,1089375,4510,195000,4040,280000,4320,327500,3610,426875,4000
,,1057500,4520,192500,4050,272500,4330,265625,3620,408750,4010
,,1150625,4530,201250,4060,238750,4340,271875,3630,395625,4020
,,1063125,4540,179375,4070,308750,4350,323750,3640,387500,4030
,,1078750,4550,179375,4080,255000,4360,271250,3650,388750,4040
,,989375,4560,171250,4090,258125,4370,295000,3660,421250,4050
,,928750,4570,165625,4100,258750,4380,316875,3670,402500,4060
,,912500,4580,165000,4110,315000,4390,340625,3680,420625,4070
,,860625,4590,157500,4120,305000,4400,334375,3690,470000,4080
,,799375,4600,160000,4130,286250,4410,426250,3700,424375,4090
,,825625,4610,160625,4140,272500,4420,378125,3710,450625,4100
,,811250,4620,172500,4150,267500,4430,350000,3720,438125,4110
,,855625,4630,189375,4160,264375,4440,335000,3730,421250,4120
,,859375,4640,173750,4170,256875,4450,299375,3740,413750,4130
,,793750,4650,181875,4180,278750,4460,281875,3750,385625,4140
,,736250,4660,168750,4190,294375,4470,309375,3760,392500,4150
,,646875,4670,168750,4200,256250,4480,286250,3770,393750,4160
,,570625,4680,172500,4210,254375,4490,280625,3780,412500,4170
,,561250,4690,159375,4220,273125,4500,264375,3790,405000,4180
,,542500,4700,165000,4230,302500,4510,268750,3800,383750,4190
,,521875,4710,156875,4240,281250,4520,272500,3810,377500,4200
,,538125,4720,146250,4250,278125,4530,296875,3820,388125,4210
,,481250,4730,141875,4260,262500,4540,276250,3830,376875,4220
,,491250,4740,140000,4270,270000,4550,308125,3840,402500,4230
,,490625,4750,137500,4280,252500,4560,364375,3850,426875,4240
,,461250,4760,132500,4290,246875,4570,341875,3860,420000,4250
,,458750,4770,136875,4300,252500,4580,353125,3870,418750,4260
,,433125,4780,128125,4310,260000,4590,391250,3880,418750,4270
,,394375,4790,131875,4320,262500,4600,400625,3890,389375,4280
,,361875,4800,130625,4330,247500,4610,401250,3900,366250,4290
,,350625,4810,132500,4340,250625,4620,398125,3910,356250,4300
,,327500,4820,146250,4350,247500,4630,390625,3920,348125,4310
,,333125,4830,166875,4360,246250,4640,398750,3930,338125,4320
,,303750,4840,159375,4370,259375,4650,472500,3940,326250,4330
,,255000,4850,181250,4380,253125,4660,450625,3950,325625,4340
,,264375,4860,181875,4390,250625,4670,482500,3960,335625,4350
,,236250,4870,193750,4400,250625,4680,383750,3970,320000,4360
,,223125,4880,195000,4410,258750,4690,358125,3980,299375,4370
,,225000,4890,196875,4420,239375,4700,373750,3990,301250,4380
,,227500,4900,228750,4430,223125,4710,371875,4000,300625,4390
,,239375,4910,266250,4440,208750,4720,396875,4010,285625,4400
,,251875,4920,258750,4450,224375,4730,354375,4020,311250,4410
,,244375,4930,227500,4460,201250,4740,376250,4030,300625,4420
,,245000,4940,231875,4470,204375,4750,351250,4040,312500,4430
,,234375,4950,215625,4480,219375,4760,365625,4050,295625,4440
,,218125,4960,199375,4490,248750,4770,371875,4060,313125,4450
,,215625,4970,203125,4500,270000,4780,392500,4070,294375,4460
,,207500,4980,205000,4510,227500,4790,413750,4080,287500,4470
,,214375,4990,208750,4520,221875,4800,395000,4090,291875,4480
,,221875,5000,198750,4530,224375,4810,402500,4100,281875,4490
,,224375,5010,219375,4540,226250,4820,430000,4110,301250,4500
,,226875,5020,212500,4550,223750,4830,421875,4120,281875,4510
,,233750,5030,231250,4560,201875,4840,405625,4130,295000,4520
,,330625,5040,206875,4570,199375,4850,398750,4140,286875,4530
,,280000,5050,220625,4580,193750,4860,375625,4150,301250,4540
,,250000,5060,228750,4590,173125,4870,381875,4160,283125,4550
,,251250,5070,221875,4600,188125,4880,411250,4170,286250,4560
,,254375,5080,236250,4610,201875,4890,420625,4180,256875,4570
,,276875,5090,256250,4620,195625,4900,416875,4190,268125,4580
,,255625,5100,271250,4630,183125,4910,409375,4200,256875,4590
,,249375,5110,261250,4640,193125,4920,409375,4210,232500,4600
,,254375,5120,235625,4650,185000,4930,422500,4220,247500,4610
,,234375,5130,213750,4660,166250,4940,395625,4230,227500,4620
,,232500,5140,223125,4670,140000,4950,396250,4240,230625,4630
,,220000,5150,185000,4680,134375,4960,381250,4250,233750,4640
,,226875,5160,203750,4690,138750,4970,376875,4260,235000,4650
,,225625,5170,197500,4700,123125,4980,366250,4270,231250,4660
,,246875,5180,198750,4710,129375,4990,342500,4280,198125,4670
,,243125,5190,191875,4720,146250,5000,330000,4290,182500,4680
,,215625,5200,207500,4730,134375,5010,319375,4300,179375,4690
,,229375,5210,220000,4740,112500,5020,316875,4310,186250,4700
,,211875,5220,232500,4750,109375,5030,328125,4320,170625,4710
,,216250,5230,224375,4760,113125,5040,307500,4330,150000,4720
,,209375,5240,228750,4770,121250,5050,329375,4340,153750,4730
,,173125,5250,222500,4780,118125,5060,306875,4350,160000,4740
,,176875,5260,239375,4790,117500,5070,308125,4360,171250,4750
,,160625,5270,260625,4800,121875,5080,299375,4370,168125,4760
,,170625,5280,281250,4810,120000,5090,287500,4380,159375,4770
,,160625,5290,271250,4820,120625,5100,293125,4390,141250,4780
,,158750,5300,261875,4830,113750,5110,269375,4400,158125,4790
,,169375,5310,236875,4840,121875,5120,303125,4410,162500,4800
,,124375,5320,253750,4850,119375,5130,290625,4420,162500,4810
,,104375,5330,247500,4860,116250,5140,275625,4430,170625,4820
,,106875,5340,229375,4870,102500,5150,260000,4440,173125,4830
,,108125,5350,227500,4880,91250,5160,245625,4450,157500,4840
