Date,Qobs
10/27/2011,81.9
10/28/2011,76.3
10/29/2011,72.6
10/30/2011,75.8
10/31/2011,88.1
11/1/2011,92.8
11/2/2011,88.9
11/3/2011,85.4
11/4/2011,89.6
11/5/2011,87.3
11/6/2011,95.1
11/7/2011,101
11/8/2011,77.1
11/9/2011,61
11/10/2011,63
11/11/2011,73.5
11/12/2011,88.2
11/13/2011,91.8
11/14/2011,70.4
11/15/2011,72.5
11/16/2011,85.3
11/17/2011,85.7
11/18/2011,84.2
11/19/2011,78.1
11/20/2011,71.2
11/21/2011,61.7
11/22/2011,71.2
11/23/2011,91.1
11/24/2011,92.6
11/25/2011,98
11/26/2011,106
11/27/2011,112
11/28/2011,110
11/29/2011,113
11/30/2011,115
12/1/2011,115
12/2/2011,118
12/3/2011,108
12/4/2011,105
12/5/2011,94.1
12/6/2011,97.2
12/7/2011,88.9
12/8/2011,91.7
12/9/2011,97
12/10/2011,96.9
12/11/2011,95.2
12/12/2011,95.2
12/13/2011,98
12/14/2011,105
12/15/2011,113
12/16/2011,109
12/17/2011,94.5
12/18/2011,97.2
12/19/2011,96.9
12/20/2011,88.5
12/21/2011,88.3
12/22/2011,82.2
12/23/2011,82.5
12/24/2011,81.6
12/25/2011,81.1
12/26/2011,87.3
12/27/2011,95
12/28/2011,100
12/29/2011,110
12/30/2011,101
12/31/2011,101
1/1/2012,108
1/2/2012,103
1/3/2012,105
1/4/2012,108
1/5/2012,100
1/6/2012,87.3
1/7/2012,84.9
1/8/2012,83.5
1/9/2012,88.3
1/10/2012,84.4
1/11/2012,81.7
1/12/2012,83.6
1/13/2012,91.4
1/14/2012,85.2
1/15/2012,83.2
1/16/2012,77.2
1/17/2012,66.5
1/18/2012,72.7
1/19/2012,76.4
1/20/2012,80
1/21/2012,75.3
1/22/2012,67.1
1/23/2012,63.3
1/24/2012,48.6
1/25/2012,61.5
1/26/2012,70.2
1/27/2012,80.3
1/28/2012,82.6
1/29/2012,80.6
1/30/2012,75.8
1/31/2012,78
2/1/2012,79.3
2/2/2012,73.8
2/3/2012,78.2
2/4/2012,81.4
2/5/2012,81.2
2/6/2012,82.2
2/7/2012,85.4
2/8/2012,87.8
2/9/2012,82.2
2/10/2012,86.4
2/11/2012,130
2/12/2012,138
2/13/2012,114
2/14/2012,85.6
2/15/2012,80.1
2/16/2012,77.8
2/17/2012,81.4
2/18/2012,74.2
2/19/2012,68.1
2/20/2012,84.4
2/21/2012,76.4
2/22/2012,81.3
2/23/2012,77.6
2/24/2012,66.3
2/25/2012,61.8
2/26/2012,54.4
2/27/2012,63.7
2/28/2012,57.9
2/29/2012,52.6
3/1/2012,57.3
3/2/2012,64.6
3/3/2012,73.2
3/4/2012,79.5
3/5/2012,73.2
3/6/2012,64.5
3/7/2012,83.8
3/8/2012,86.3
3/9/2012,91.9
3/10/2012,90
3/11/2012,80.7
3/12/2012,79.8
3/13/2012,72.2
3/14/2012,76.9
3/15/2012,80.4
3/16/2012,83.5
3/17/2012,79.1
3/18/2012,77.4
3/19/2012,72.5
3/20/2012,69.2
3/21/2012,62.5
3/22/2012,66.7
3/23/2012,68.9
3/24/2012,70.4
3/25/2012,67.4
3/26/2012,63.4
3/27/2012,66.2
3/28/2012,67.4
3/29/2012,68.7
3/30/2012,69.9
3/31/2012,74.5
4/1/2012,72.3
4/2/2012,71.4
4/3/2012,67.4
4/4/2012,66.3
4/5/2012,60.3
4/6/2012,58.5
4/7/2012,60
4/8/2012,58.2
4/9/2012,55.6
4/10/2012,55.2
4/11/2012,55.9
4/12/2012,56.1
4/13/2012,52.8
4/14/2012,75.9
4/15/2012,54.7
4/16/2012,53.5
4/17/2012,51.5
4/18/2012,51.5
4/19/2012,49.7
4/20/2012,49.4
4/21/2012,47.8
4/22/2012,47.2
4/23/2012,47
4/24/2012,48.7
4/25/2012,48.2
4/26/2012,47.6
4/27/2012,49.7
4/28/2012,48.4
4/29/2012,46.4
4/30/2012,48.2
5/1/2012,48.1
5/2/2012,46.8
5/3/2012,47.2
5/4/2012,45.2
5/5/2012,46.5
5/6/2012,44.6
5/7/2012,44.5
5/8/2012,45.1
5/9/2012,44.1
5/10/2012,42.3
5/11/2012,40.9
5/12/2012,40.4
5/13/2012,38.8
5/14/2012,38
5/15/2012,40.1
5/16/2012,39.3
5/17/2012,38.3
5/18/2012,36.8
5/19/2012,37.3
5/20/2012,38
5/21/2012,37.7
5/22/2012,36.8
5/23/2012,38.2
5/24/2012,39.7
5/25/2012,38.4
5/26/2012,49.1
5/27/2012,305
5/28/2012,112
5/29/2012,62.8
5/30/2012,53.1
5/31/2012,47.6
6/1/2012,41.3
6/2/2012,49.8
6/3/2012,45.5
6/4/2012,38.3
6/5/2012,35.6
6/6/2012,32.8
6/7/2012,33.1
6/8/2012,32.6
6/9/2012,33.7
6/10/2012,32.5
6/11/2012,32.4
6/12/2012,34.3
6/13/2012,70.2
6/14/2012,51.4
6/15/2012,40.8
6/16/2012,41.3
6/17/2012,66.2
6/18/2012,55.9
6/19/2012,46.3
6/20/2012,42.9
6/21/2012,39.5
6/22/2012,39.9
6/23/2012,39.8
6/24/2012,40.3
6/25/2012,41.8
6/26/2012,42.4
6/27/2012,41.4
6/28/2012,44.7
6/29/2012,74.8
6/30/2012,116
7/1/2012,101
7/2/2012,69.6
7/3/2012,56
7/4/2012,50.3
7/5/2012,46.6
7/6/2012,42.8
7/7/2012,41.4
7/8/2012,40.9
7/9/2012,40.7
7/10/2012,38.9
7/11/2012,38.8
7/12/2012,38
7/13/2012,37.9
